timestamp,x,y,z
0,-3.48,10.31,0.35
10,-3.88,10.17,0.04
20,-4.34,9.96,0.17
30,-4.98,9.69,0.42
40,-5.56,9.57,0.57
50,-5.95,9.58,0.86
60,-5.98,9.82,1.04
70,-5.72,9.99,0.97
80,-5.37,10.0,0.84
90,-4.96,9.81,0.73
100,-4.61,9.44,0.73
110,-4.56,9.12,0.93
120,-5.21,9.03,1.13
130,-6.3,8.94,0.96
140,-7.36,9.5,0.55
150,-8.51,9.17,-0.23
160,-8.72,9.44,-0.67
170,-8.49,9.24,-0.77
180,-8.15,9.02,-0.86
190,-8.05,9.09,-1.08
200,-8.41,9.12,-1.59
210,-9.01,9.11,-2.19
220,-9.63,8.94,-2.69
230,-10.12,8.68,-2.98
240,-10.21,8.39,-3.06
250,-9.86,8.03,-2.97
260,-9.22,7.67,-2.86
270,-8.29,7.56,-3.03
280,-7.34,7.32,-3.01
290,-6.51,7.08,-3.03
300,-5.87,7.1,-3.11
310,-5.45,7.04,-3.27
320,-5.05,6.85,-3.24
330,-4.67,6.71,-2.94
340,-4.32,6.63,-2.38
350,-4.1,6.65,-1.75
360,-3.94,6.71,-1.21
370,-3.9,6.91,-1.03
380,-3.75,7.07,-1.37
390,-3.55,7.35,-2.09
400,-3.25,7.52,-3.15
410,-2.93,7.66,-4.12
420,-2.46,7.58,-4.71
430,-1.99,7.74,-4.52
440,-1.68,8.07,-3.77
450,-1.44,8.3,-3.33
460,-1.22,8.41,-3.46
470,-0.91,8.43,-3.9
480,-0.46,8.49,-4.74
490,0.13,8.5,-5.79
500,0.79,8.48,-6.55
510,1.38,8.65,-7.01
520,1.54,8.55,-7.31
530,1.21,8.61,-6.55
540,1.06,8.68,-5.62
550,0.98,8.42,-5.34
560,1.0,8.18,-5.55
570,1.26,8.02,-5.98
580,1.53,8.07,-6.69
590,1.81,8.1,-7.54
600,2.22,8.13,-8.13
610,2.59,8.3,-8.12
620,2.67,8.46,-7.4
630,2.5,8.6,-6.63
640,2.25,8.81,-6.24
650,1.89,9.0,-6.4
660,1.46,9.02,-6.95
670,1.19,9.0,-7.47
680,1.09,9.05,-7.54
690,1.2,9.18,-7.33
700,1.22,9.41,-7.04
710,1.17,9.39,-6.67
720,1.13,9.44,-6.15
730,0.9,9.42,-5.65
740,0.72,9.48,-5.22
750,0.4,9.51,-5.05
760,0.05,9.46,-5.07
770,-0.12,9.45,-4.99
780,-0.21,9.61,-4.68
790,-0.36,9.79,-4.37
800,-0.53,9.93,-4.46
810,-0.55,9.96,-4.47
820,-0.59,10.15,-4.33
830,-0.73,10.11,-4.13
840,-0.9,10.09,-3.8
850,-1.14,10.01,-3.37
860,-1.36,10.09,-2.95
870,-1.58,10.2,-2.5
880,-1.81,10.33,-2.15
890,-2.11,10.43,-1.93
900,-2.27,10.46,-1.84
910,-2.34,10.41,-1.84
920,-2.32,10.37,-1.76
930,-2.13,10.38,-1.6
940,-1.92,10.37,-1.28
950,-1.72,10.2,-0.92
960,-1.63,10.15,-0.51
970,-1.69,10.13,-0.02
980,-1.84,10.28,0.47
990,-1.98,10.59,0.8
1000,-2.24,10.8,0.82
