timestamp,x,y,z
0,10.6,11.2,9.18
10,10.28,11.15,9.02
20,10.16,10.49,8.7
30,9.73,9.76,8.32
40,9.07,9.16,8.03
50,8.7,8.22,8.09
60,8.25,7.32,8.46
70,7.29,6.82,8.87
80,5.74,6.49,9.16
90,4.06,6.26,9.02
100,2.51,6.5,8.3
110,1.42,6.48,7.36
120,0.81,6.14,6.3
130,0.38,5.9,5.37
140,0.03,5.69,4.62
150,0.01,5.15,4.08
160,0.18,4.59,3.61
170,0.3,4.29,3.04
180,0.49,4.09,2.37
190,0.65,3.9,1.64
200,0.68,3.85,1.07
210,0.73,3.85,0.6
220,0.68,4.02,0.25
230,0.51,4.24,-0.03
240,0.08,4.64,-0.44
250,-0.46,5.2,-1.0
260,-1.09,5.92,-1.56
270,-1.68,6.76,-2.23
280,-2.11,7.68,-3.02
290,-2.43,8.37,-3.8
300,-2.61,8.77,-4.48
310,-2.73,8.98,-4.8
320,-2.94,9.46,-4.59
330,-3.05,10.11,-3.8
340,-2.88,10.7,-2.77
350,-2.57,11.14,-1.88
360,-2.0,11.3,-1.42
370,-1.29,11.26,-1.41
380,-0.59,10.97,-1.67
390,0.03,10.61,-2.05
400,0.5,10.35,-2.38
410,0.84,10.33,-2.49
420,0.95,10.47,-2.34
430,0.62,10.59,-1.64
440,0.1,11.06,-1.14
450,-0.34,11.26,-0.95
460,-0.49,11.25,-0.94
470,-0.48,11.12,-1.27
480,-0.23,10.71,-1.66
490,0.05,10.38,-1.96
500,0.1,10.17,-1.83
510,-0.05,10.12,-1.32
520,0.03,9.93,-1.04
530,0.16,9.72,-0.91
540,0.38,9.47,-0.81
550,0.68,9.37,-0.79
560,0.97,9.32,-0.91
570,1.18,9.25,-0.85
580,1.29,9.31,-0.65
590,1.44,9.43,-0.43
600,1.61,9.49,-0.31
610,1.75,9.57,-0.33
620,1.88,9.64,-0.33
630,1.97,9.75,-0.26
640,2.09,9.82,-0.19
650,2.14,9.87,0.09
660,2.18,9.98,0.4
670,2.21,10.01,0.68
680,2.13,9.98,0.88
690,1.92,10.13,0.85
700,1.73,10.24,0.58
710,1.57,10.2,0.25
720,1.41,10.14,0.03
730,1.23,10.08,-0.08
740,1.0,10.09,-0.03
750,0.77,10.1,0.23
760,0.58,10.13,0.51
770,0.35,10.23,0.6
780,0.09,10.53,0.47
790,-0.32,11.04,0.29
800,-0.8,11.65,0.05
810,-1.05,12.35,-0.42
820,-1.0,12.92,-1.04
830,-0.81,13.64,-1.71
840,-0.73,14.62,-2.21
850,-1.22,15.97,-1.97
860,-2.44,17.62,-1.18
870,-3.65,18.83,-0.19
880,-4.3,19.16,0.67
890,-3.96,18.69,0.88
900,-2.75,17.88,0.23
910,-1.38,16.99,-0.69
920,-0.35,16.25,-1.34
930,0.02,15.85,-1.77
940,0.17,15.54,-2.38
950,0.41,14.91,-2.89
960,0.84,14.0,-3.2
970,1.29,13.04,-3.22
980,1.8,12.17,-2.75
990,2.19,11.95,-1.88
1000,2.49,12.18,-0.75
