timestamp,x,y,z
0,-8.24,2.17,-6.54
10,-8.05,2.4,-6.07
20,-7.77,2.7,-5.59
30,-7.58,3.01,-5.04
40,-7.42,3.31,-4.47
50,-7.29,3.65,-3.89
60,-7.21,4.03,-3.33
70,-7.13,4.37,-2.93
80,-7.14,4.74,-2.44
90,-7.1,5.22,-1.99
100,-6.99,5.69,-1.57
110,-6.76,5.99,-1.09
120,-6.29,6.07,-0.54
130,-5.67,6.17,0.05
140,-5.0,6.28,0.85
150,-4.25,6.36,1.71
160,-3.65,6.52,2.64
170,-3.25,6.72,3.41
180,-3.01,7.01,4.16
190,-2.66,7.15,4.95
200,-2.13,7.2,5.83
210,-1.59,7.44,6.54
220,-1.01,7.62,6.96
230,-0.32,7.55,7.13
240,0.37,7.39,6.97
250,0.97,7.25,6.63
260,1.66,7.19,6.12
270,2.39,7.23,5.7
280,2.73,7.26,5.11
290,2.67,7.07,4.49
300,2.35,6.91,3.61
310,2.3,6.71,2.52
320,2.54,6.47,1.28
330,2.88,6.18,-0.09
340,3.44,5.84,-1.5
350,4.04,5.99,-2.75
360,4.71,6.21,-3.95
370,5.52,6.44,-5.22
380,6.47,6.54,-6.46
390,7.36,6.53,-7.43
400,8.09,6.39,-8.24
410,8.71,6.19,-8.81
420,9.2,5.81,-9.35
430,9.48,5.4,-9.98
440,9.43,5.1,-10.61
450,8.93,4.56,-11.2
460,7.81,3.9,-11.59
470,6.46,3.15,-11.88
480,5.33,2.73,-12.27
490,4.41,2.39,-12.58
500,3.72,2.06,-12.89
510,3.04,1.83,-13.13
520,2.19,1.58,-13.42
530,1.16,1.29,-13.82
540,0.17,1.05,-14.28
550,-0.53,0.87,-14.71
560,-0.91,0.73,-15.08
570,-1.11,0.57,-15.35
580,-1.3,0.38,-15.47
590,-1.57,0.17,-15.32
600,-1.84,0.04,-14.98
610,-2.13,0.02,-14.6
620,-2.34,0.06,-14.16
630,-2.58,0.2,-13.78
640,-2.88,0.35,-13.41
650,-3.27,0.44,-13.15
660,-3.64,0.53,-12.93
670,-4.0,0.67,-12.73
680,-4.46,0.77,-12.67
690,-5.1,0.79,-12.57
700,-5.83,0.71,-12.41
710,-6.62,0.71,-12.18
720,-7.33,0.69,-11.84
730,-7.87,0.75,-11.38
740,-8.31,0.91,-10.83
750,-8.56,1.08,-10.33
760,-8.69,1.28,-9.82
770,-8.77,1.52,-9.34
780,-8.82,1.82,-8.81
790,-8.8,2.13,-8.29
800,-8.72,2.38,-7.78
810,-8.68,2.65,-7.31
820,-8.62,2.91,-6.83
830,-8.51,3.26,-6.35
840,-8.34,3.66,-5.87
850,-8.14,4.0,-5.41
860,-7.98,4.31,-4.93
870,-7.78,4.48,-4.51
880,-7.56,4.71,-3.96
890,-7.29,4.91,-3.42
900,-6.87,5.06,-2.86
910,-6.3,5.13,-2.23
920,-5.5,5.13,-1.55
930,-4.56,5.14,-0.89
940,-3.59,5.28,-0.33
950,-2.74,5.74,0.21
960,-2.11,6.28,1.13
970,-1.67,6.71,2.2
980,-1.36,7.03,3.42
990,-0.99,7.11,4.52
1000,-0.66,7.24,5.61
