timestamp,x,y,z
0,3.92,-4.83,-13.92
10,3.44,-4.32,-13.77
20,2.79,-3.97,-13.41
30,2.02,-4.17,-13.23
40,0.62,-5.0,-12.9
50,-0.97,-5.91,-12.37
60,-2.9,-7.0,-11.04
70,-4.75,-7.79,-9.26
80,-6.47,-8.02,-7.3
90,-7.26,-7.72,-5.44
100,-7.58,-6.67,-3.84
110,-8.42,-5.98,-2.24
120,-9.7,-5.53,-1.5
130,-11.41,-6.02,-1.4
140,-13.08,-6.7,-1.43
150,-13.8,-7.33,-1.19
160,-13.57,-7.68,-0.54
170,-12.89,-7.57,0.17
180,-11.99,-7.41,0.92
190,-11.46,-7.36,1.85
200,-11.54,-7.85,3.09
210,-12.07,-7.85,4.11
220,-12.1,-7.79,5.86
230,-12.15,-7.37,8.09
240,-12.43,-7.33,9.95
250,-12.91,-7.76,11.42
260,-13.21,-8.13,12.49
270,-13.18,-8.27,13.47
280,-12.78,-8.09,14.26
290,-12.21,-8.03,14.6
300,-11.46,-8.11,14.59
310,-10.21,-8.3,14.3
320,-8.77,-8.55,13.52
330,-7.24,-9.19,12.6
340,-5.57,-9.74,12.22
350,-3.99,-10.42,12.47
360,-2.38,-10.92,13.14
370,-0.69,-11.23,14.01
380,1.23,-11.76,14.53
390,3.53,-12.53,14.5
400,6.12,-13.82,14.01
410,8.99,-15.06,13.13
420,12.05,-16.23,11.18
430,14.9,-18.44,8.26
440,17.57,-20.18,5.09
450,20.84,-20.17,1.5
460,24.1,-17.79,-2.43
470,27.24,-13.39,-6.96
480,30.17,-9.36,-11.82
490,33.65,-7.27,-16.29
500,36.81,-5.29,-20.12
510,38.75,-4.41,-24.2
520,37.45,-2.78,-26.25
530,36.23,-0.98,-24.79
540,34.03,-2.01,-21.23
550,28.83,-3.82,-17.98
560,21.02,-6.16,-20.03
570,15.28,-8.11,-26.31
580,13.05,-8.63,-30.59
590,13.41,-7.13,-31.74
600,13.54,-6.11,-31.54
610,13.04,-5.66,-30.11
620,12.47,-5.96,-27.51
630,12.07,-6.69,-24.45
640,11.96,-7.02,-21.57
650,11.46,-7.6,-19.23
660,10.66,-8.06,-17.47
670,9.76,-8.34,-16.23
680,8.43,-9.0,-15.18
690,6.61,-9.9,-14.35
700,4.33,-10.87,-13.56
710,2.11,-11.51,-12.46
720,-0.46,-12.2,-10.68
730,-2.57,-12.27,-8.68
740,-3.95,-11.91,-6.34
750,-4.9,-11.2,-3.87
760,-5.79,-10.33,-1.6
770,-6.46,-9.65,0.09
780,-7.12,-9.13,0.95
790,-7.79,-8.97,1.04
800,-8.65,-9.27,0.88
810,-9.42,-9.74,0.97
820,-10.41,-10.45,1.9
830,-11.4,-10.93,3.23
840,-11.98,-11.47,4.74
850,-12.2,-11.53,5.92
860,-12.11,-11.34,6.38
870,-11.64,-10.99,5.91
880,-10.73,-10.69,5.17
890,-9.72,-10.43,5.01
900,-9.55,-10.3,5.66
910,-9.81,-10.04,6.67
920,-9.98,-9.5,7.49
930,-10.12,-8.7,7.92
940,-10.03,-8.04,7.51
950,-9.48,-7.72,6.51
960,-8.84,-7.56,5.45
970,-8.62,-7.48,4.62
980,-8.75,-7.17,4.11
990,-8.86,-6.86,3.83
1000,-9.04,-6.6,3.73
