timestamp,x,y,z
0,-5.35,0.66,12.29
10,-4.79,-0.11,12.68
20,-3.68,-1.05,13.25
30,-2.09,-2.25,13.7
40,0.14,-3.68,14.01
50,3.42,-4.71,13.69
60,7.75,-5.2,13.23
70,12.11,-5.05,12.59
80,16.18,-4.3,11.94
90,19.54,-3.21,11.0
100,21.05,-2.48,9.65
110,20.79,-2.28,7.9
120,19.16,-2.67,6.16
130,17.05,-3.35,4.77
140,15.4,-4.26,3.45
150,14.59,-5.37,1.92
160,14.84,-6.52,-0.51
170,15.58,-7.26,-4.08
180,16.41,-7.44,-9.19
190,17.1,-6.74,-16.44
200,16.0,-3.65,-25.48
210,13.24,0.06,-33.52
220,9.89,2.01,-36.47
230,5.79,1.01,-34.2
240,1.23,-1.37,-30.0
250,-1.84,-3.14,-26.36
260,-3.22,-3.95,-25.09
270,-3.65,-4.02,-25.57
280,-4.44,-3.98,-26.51
290,-5.43,-3.86,-27.07
300,-6.36,-3.74,-26.86
310,-8.49,-4.39,-24.65
320,-11.44,-5.07,-21.37
330,-14.64,-5.5,-18.51
340,-17.12,-5.17,-17.12
350,-16.66,-3.6,-17.27
360,-14.6,-1.98,-17.21
370,-12.73,-1.07,-16.02
380,-11.63,-0.61,-13.82
390,-10.92,-0.27,-11.17
400,-10.23,0.2,-8.89
410,-9.38,0.87,-7.14
420,-8.55,1.71,-5.86
430,-7.89,2.53,-4.83
440,-7.55,3.31,-3.99
450,-7.44,4.09,-3.42
460,-7.52,4.7,-2.8
470,-7.49,5.19,-2.22
480,-7.25,5.6,-1.7
490,-6.93,5.83,-1.04
500,-6.53,5.97,-0.39
510,-6.03,6.12,0.36
520,-5.52,6.05,1.3
530,-4.85,5.9,2.27
540,-4.17,5.84,3.26
550,-3.48,5.77,4.21
560,-2.78,5.63,5.05
570,-2.11,5.56,5.77
580,-1.5,5.59,6.34
590,-0.98,5.6,6.83
600,-0.5,5.61,7.3
610,-0.04,5.69,7.87
620,0.51,5.68,8.49
630,1.08,5.79,9.1
640,1.66,5.93,9.65
650,2.19,6.06,10.09
660,2.63,6.21,10.31
670,2.99,6.45,10.37
680,3.31,6.62,10.25
690,3.54,6.72,9.88
700,3.68,6.78,9.4
710,3.73,6.85,8.88
720,3.72,6.93,8.38
730,3.66,7.05,7.89
740,3.53,7.09,7.47
750,3.29,7.02,7.06
760,3.01,6.9,6.84
770,2.65,6.65,6.97
780,2.33,6.21,7.33
790,2.16,5.69,7.73
800,2.06,4.97,8.16
810,2.27,4.33,8.38
820,2.72,3.75,8.0
830,3.39,3.08,7.16
840,4.13,2.38,5.92
850,5.37,1.67,4.36
860,7.02,0.96,2.35
870,9.7,0.65,-0.29
880,12.89,0.75,-4.05
890,16.65,1.98,-9.47
900,19.31,4.49,-15.9
910,19.78,6.87,-22.41
920,18.36,8.75,-26.85
930,15.35,8.76,-28.17
940,11.63,7.32,-26.63
950,7.42,5.29,-23.68
960,3.03,3.42,-21.1
970,0.55,2.76,-19.82
980,-0.85,3.12,-19.82
990,-2.2,3.68,-20.12
1000,-3.42,4.24,-20.08
