timestamp,x,y,z
0,7.91,-6.78,6.12
10,9.03,-6.85,7.09
20,10.62,-7.01,8.89
30,13.37,-7.06,11.61
40,16.6,-6.8,15.27
50,19.69,-5.62,18.72
60,21.47,-4.26,21.23
70,22.45,-3.69,22.07
80,23.37,-4.23,20.5
90,24.32,-6.17,16.69
100,25.34,-8.49,12.04
110,26.04,-10.41,7.43
120,25.58,-11.62,3.28
130,24.33,-11.8,-0.4
140,23.0,-11.73,-3.4
150,21.7,-12.08,-6.29
160,20.4,-12.37,-8.66
170,19.37,-12.64,-10.85
180,18.4,-12.39,-12.96
190,17.99,-12.09,-15.54
200,17.96,-9.98,-19.28
210,15.89,-9.39,-23.0
220,12.16,-9.61,-26.42
230,6.3,-9.77,-28.67
240,0.52,-10.4,-29.74
250,-3.38,-10.19,-29.77
260,-5.11,-8.93,-28.55
270,-4.8,-8.24,-26.6
280,-3.73,-8.13,-24.89
290,-3.32,-8.14,-23.45
300,-5.16,-9.5,-21.82
310,-10.39,-10.04,-20.64
320,-17.34,-9.18,-19.97
330,-22.4,-8.27,-19.17
340,-24.96,-7.84,-18.34
350,-25.41,-7.38,-17.51
360,-23.85,-6.44,-16.92
370,-21.39,-5.57,-16.29
380,-18.45,-5.38,-15.86
390,-15.34,-5.33,-15.7
400,-12.25,-5.58,-15.22
410,-9.12,-5.74,-14.71
420,-6.46,-5.43,-14.26
430,-4.79,-5.07,-13.27
440,-3.83,-5.18,-12.05
450,-3.36,-5.37,-10.53
460,-3.26,-5.88,-8.64
470,-2.76,-6.45,-6.8
480,-2.13,-6.94,-4.92
490,-1.61,-8.03,-2.95
500,-1.19,-9.44,-1.0
510,-0.64,-10.51,1.0
520,0.17,-11.18,2.98
530,0.97,-11.21,4.69
540,1.87,-10.94,6.04
550,2.98,-10.68,6.9
560,4.06,-10.37,7.57
570,5.19,-10.11,8.11
580,6.41,-9.95,9.0
590,7.79,-9.67,10.67
600,9.78,-9.58,13.5
610,12.54,-9.09,18.09
620,16.29,-8.53,23.14
630,19.53,-8.23,26.78
640,21.82,-7.74,28.07
650,23.21,-7.33,26.44
660,23.98,-8.89,21.82
670,24.63,-11.1,15.9
680,25.0,-13.08,9.97
690,24.72,-14.83,4.75
700,23.93,-14.99,0.1
710,22.46,-14.25,-3.22
720,20.65,-13.51,-5.65
730,19.08,-12.62,-7.37
740,18.17,-10.72,-9.15
750,17.22,-8.37,-10.9
760,15.92,-6.81,-13.46
770,14.82,-6.08,-16.7
780,13.13,-4.82,-20.03
790,9.08,-4.42,-22.07
800,4.25,-5.66,-22.97
810,0.4,-6.36,-23.13
820,-1.65,-5.63,-23.04
830,-2.32,-3.61,-23.3
840,-2.57,-1.86,-24.19
850,-2.72,-1.31,-26.19
860,-3.89,-2.29,-26.64
870,-6.02,-4.75,-25.77
880,-10.74,-7.61,-23.82
890,-18.32,-8.88,-21.97
900,-24.67,-7.39,-20.24
910,-26.29,-7.17,-18.68
920,-24.12,-6.15,-17.83
930,-20.43,-6.02,-17.03
940,-16.1,-7.49,-15.75
950,-11.26,-8.93,-14.01
960,-6.53,-8.82,-12.15
970,-2.84,-7.85,-10.52
980,-0.52,-6.72,-9.11
990,0.13,-6.14,-7.58
1000,-0.41,-6.06,-5.82
