timestamp,x,y,z
0,-5.28,3.69,2.84
10,-4.21,3.8,4.09
20,-2.94,4.24,4.92
30,-1.71,4.89,5.53
40,-0.76,5.48,5.94
50,0.03,5.65,5.76
60,0.51,5.33,5.6
70,1.09,4.82,5.73
80,2.35,4.91,5.99
90,3.95,5.59,6.49
100,5.37,6.58,7.17
110,6.35,7.66,7.67
120,6.95,8.27,7.9
130,7.03,8.32,8.19
140,6.96,7.93,8.31
150,7.21,7.66,8.12
160,7.91,7.19,7.41
170,9.35,6.71,5.71
180,11.93,6.86,2.89
190,14.25,8.15,-0.62
200,15.22,8.79,-4.36
210,14.59,8.96,-7.26
220,13.07,8.67,-9.0
230,10.89,8.22,-9.52
240,9.01,7.45,-8.89
250,8.23,7.03,-8.26
260,8.05,6.87,-8.7
270,7.98,6.84,-10.67
280,8.1,6.6,-13.42
290,8.1,6.54,-16.16
300,7.96,6.38,-17.49
310,8.01,5.79,-17.26
320,7.32,5.14,-16.09
330,5.55,4.3,-14.98
340,2.35,3.27,-14.24
350,-1.62,2.95,-14.04
360,-4.74,3.08,-14.34
370,-6.06,3.5,-14.9
380,-6.4,3.75,-15.4
390,-6.86,3.75,-15.15
400,-7.53,3.29,-13.99
410,-8.17,2.82,-12.5
420,-8.48,2.72,-11.04
430,-8.63,2.9,-9.83
440,-8.74,3.14,-8.72
450,-8.85,3.19,-7.83
460,-8.81,3.18,-7.09
470,-8.71,3.3,-6.44
480,-8.74,3.3,-5.77
490,-8.71,3.31,-5.02
500,-8.75,3.44,-4.2
510,-8.91,3.45,-3.42
520,-8.89,3.24,-2.64
530,-8.47,3.03,-1.7
540,-7.89,2.76,-0.61
550,-7.37,2.49,0.64
560,-6.9,2.41,1.89
570,-6.45,2.65,2.99
580,-5.78,3.15,3.98
590,-4.97,3.5,5.03
600,-4.13,3.63,5.52
610,-3.41,3.87,5.6
620,-2.72,4.05,5.7
630,-2.0,4.19,6.15
640,-1.26,4.24,6.67
650,-0.61,4.11,7.3
660,0.54,3.98,8.12
670,2.49,4.34,9.09
680,4.59,4.92,10.02
690,6.25,5.26,10.67
700,6.86,5.43,10.95
710,6.64,5.86,11.1
720,7.43,6.03,10.6
730,8.72,6.17,9.46
740,9.94,6.6,7.76
750,11.07,6.95,5.86
760,12.1,7.33,3.82
770,12.93,7.82,1.53
780,13.48,8.25,-1.35
790,13.29,8.71,-4.34
800,12.78,8.56,-6.64
810,12.32,8.34,-8.15
820,11.95,8.15,-8.42
830,11.63,8.29,-7.95
840,11.12,7.95,-7.45
850,10.23,7.74,-7.65
860,9.18,7.2,-8.55
870,8.19,6.04,-9.6
880,7.52,5.41,-10.4
890,7.3,5.18,-11.08
900,7.95,4.73,-11.4
910,9.1,4.53,-11.58
920,9.76,4.5,-11.89
930,9.38,3.55,-12.41
940,6.07,2.72,-13.38
950,-0.53,2.01,-14.28
960,-5.71,1.3,-15.37
970,-8.44,1.6,-16.21
980,-9.5,2.3,-16.55
990,-10.08,2.44,-16.04
1000,-10.6,2.52,-14.92
