timestamp,x,y,z
0,-10.95,-12.66,-6.46
10,-15.11,-12.97,-6.05
20,-18.66,-13.22,-5.46
30,-20.62,-12.97,-4.75
40,-20.94,-12.5,-3.73
50,-19.93,-12.01,-2.1
60,-18.32,-11.36,0.25
70,-16.55,-10.27,2.87
80,-14.31,-9.3,5.63
90,-11.86,-8.36,8.75
100,-10.04,-7.07,12.3
110,-8.84,-5.24,16.49
120,-7.37,-3.66,19.48
130,-6.54,-2.79,21.46
140,-5.8,-2.06,22.53
150,-4.35,-1.57,23.72
160,-2.18,-0.68,25.13
170,0.25,0.51,26.63
180,2.42,1.78,27.91
190,3.92,2.78,28.66
200,4.83,3.34,28.51
210,5.5,3.67,27.41
220,6.3,3.84,25.65
230,7.31,3.86,23.47
240,8.31,3.64,21.1
250,9.16,3.25,18.83
260,9.99,2.8,16.63
270,11.24,2.48,14.14
280,13.06,2.3,11.37
290,15.35,2.4,8.63
300,17.86,3.04,6.16
310,20.37,3.82,4.15
320,22.94,4.64,2.26
330,25.5,5.15,0.2
340,27.5,5.58,-2.22
350,28.2,5.63,-5.03
360,27.31,4.91,-8.2
370,25.42,3.51,-11.87
380,23.39,1.36,-16.86
390,21.65,-0.4,-22.61
400,20.09,-0.82,-27.91
410,19.23,0.08,-30.92
420,19.76,0.27,-31.82
430,19.31,-0.57,-32.69
440,16.86,-1.44,-33.77
450,14.77,-1.59,-34.72
460,14.43,-1.4,-35.39
470,14.45,-1.32,-35.56
480,13.61,-2.26,-34.86
490,11.29,-1.29,-32.52
500,9.94,0.91,-26.48
510,10.69,0.27,-21.05
520,8.51,-1.56,-18.08
530,2.91,-2.63,-16.16
540,-1.6,-3.08,-14.35
550,-3.27,-3.2,-12.69
560,-3.46,-3.0,-11.13
570,-3.78,-2.69,-9.46
580,-4.63,-2.46,-7.66
590,-5.81,-2.43,-5.94
600,-7.05,-2.47,-4.03
610,-8.06,-2.49,-2.04
620,-8.92,-2.8,0.22
630,-10.06,-3.54,2.76
640,-11.71,-3.95,5.5
650,-12.89,-3.99,8.23
660,-12.98,-4.23,10.79
670,-12.72,-4.58,13.1
680,-12.76,-4.64,14.97
690,-12.63,-4.47,16.4
700,-11.91,-4.34,17.7
710,-10.89,-4.19,18.8
720,-9.78,-3.63,20.02
730,-8.13,-2.65,21.38
740,-5.77,-1.69,22.81
750,-3.16,-0.41,24.3
760,-0.64,0.77,25.53
770,1.51,1.86,25.99
780,3.21,2.64,25.34
790,4.4,3.14,23.79
800,5.17,3.24,21.98
810,5.91,3.31,20.11
820,6.94,3.4,18.27
830,8.31,3.3,16.34
840,10.1,3.06,14.09
850,12.35,2.53,11.69
860,14.68,2.66,9.41
870,17.48,3.23,7.38
880,21.04,4.11,5.17
890,25.21,5.14,2.46
900,29.19,6.17,-0.78
910,32.01,6.49,-4.61
920,32.65,6.2,-8.87
930,30.86,5.48,-13.37
940,27.62,4.02,-18.76
950,23.92,2.29,-24.47
960,20.41,0.22,-29.64
970,17.17,1.41,-32.15
980,14.34,4.93,-28.9
990,16.6,2.93,-25.94
1000,17.25,1.8,-26.06
