timestamp,x,y,z
0,16.65,-19.11,11.32
10,20.73,-18.82,4.26
20,21.9,-16.99,-5.12
30,14.67,-13.68,3.84
40,8.91,-7.58,13.77
50,6.29,-4.47,15.44
60,6.56,-3.91,12.69
70,6.83,-3.89,11.24
80,6.92,-4.21,10.57
90,6.66,-4.34,9.43
100,6.33,-4.55,7.36
110,6.08,-4.37,4.88
120,5.21,-4.14,2.8
130,4.42,-3.87,0.91
140,3.13,-3.32,-0.49
150,1.92,-2.77,-1.7
160,0.58,-1.61,-2.83
170,-0.62,0.16,-3.84
180,-1.73,1.42,-4.38
190,-2.33,2.72,-4.77
200,-2.53,4.21,-5.16
210,-3.0,5.02,-5.03
220,-3.59,6.05,-4.04
230,-3.93,6.06,-3.1
240,-4.65,6.6,-2.99
250,-5.41,8.74,-4.16
260,-6.43,10.64,-5.61
270,-7.21,11.75,-6.68
280,-7.81,13.44,-7.01
290,-7.34,13.88,-8.09
300,-5.88,12.59,-9.2
310,-4.86,12.06,-9.89
320,-4.32,12.06,-10.19
330,-4.03,12.43,-9.96
340,-3.95,12.61,-9.15
350,-3.85,12.83,-8.4
360,-3.46,12.97,-7.99
370,-3.04,12.95,-7.54
380,-2.69,12.76,-7.02
390,-2.36,12.77,-6.89
400,-2.12,12.96,-6.8
410,-1.93,12.97,-6.33
420,-1.8,12.86,-5.52
430,-1.7,12.79,-4.66
440,-1.62,12.75,-4.05
450,-1.56,12.65,-3.54
460,-1.5,12.58,-3.17
470,-1.5,12.45,-2.88
480,-1.39,12.22,-2.52
490,-1.08,11.98,-2.0
500,-0.94,11.75,-1.29
510,-0.98,11.68,-0.39
520,-1.2,11.74,0.36
530,-1.42,11.82,0.91
540,-1.57,11.9,1.08
550,-1.58,11.85,1.1
560,-1.6,11.5,1.19
570,-1.52,11.14,1.19
580,-1.24,10.75,1.08
590,-0.85,10.24,0.89
600,-0.5,9.78,0.72
610,-0.18,9.37,0.51
620,0.12,9.14,0.21
630,0.26,8.78,0.39
640,0.23,8.6,0.82
650,0.1,8.81,1.33
660,-0.05,9.17,1.71
670,-0.32,9.46,2.39
680,-0.39,9.49,3.16
690,-0.4,9.45,3.53
700,-0.54,9.39,3.59
710,-0.64,9.35,3.57
720,-0.52,9.21,3.65
730,-0.43,9.09,3.85
740,-0.28,8.97,4.02
750,-0.21,8.92,3.98
760,-0.32,8.84,3.88
770,-0.57,8.79,4.09
780,-0.68,8.82,4.3
790,-0.6,8.67,4.34
800,-0.35,8.52,4.01
810,-0.03,8.3,3.44
820,0.17,8.15,2.7
830,0.56,8.03,2.15
840,0.81,8.17,2.01
850,0.9,8.27,2.04
860,0.91,8.15,2.02
870,0.93,8.14,1.89
880,0.84,8.22,2.1
890,1.07,8.34,1.82
900,1.32,8.35,1.59
910,1.1,8.09,2.75
920,1.0,8.17,1.99
930,1.62,8.05,2.14
940,1.47,7.9,2.05
950,1.74,7.6,1.08
960,0.5,8.2,0.9
970,1.14,7.77,0.5
980,0.45,7.97,0.07
990,0.43,8.14,-1.39
1000,-0.15,9.04,-1.07
