timestamp,x,y,z
0,11.78,3.93,-2.95
10,12.56,3.93,-1.73
20,13.43,4.44,-0.2
30,13.88,5.08,1.29
40,12.81,4.42,2.35
50,11.67,3.6,3.64
60,11.59,2.54,5.27
70,11.16,2.24,6.87
80,9.56,3.01,8.66
90,7.52,3.65,9.57
100,5.89,3.07,9.35
110,4.76,1.91,8.6
120,4.27,0.49,7.39
130,3.96,-0.79,6.02
140,3.79,-1.83,4.39
150,4.17,-2.87,2.55
160,5.07,-3.53,0.6
170,5.79,-3.68,-1.66
180,5.86,-3.65,-4.26
190,5.56,-3.84,-7.83
200,5.6,-4.51,-11.31
210,5.83,-4.73,-14.46
220,5.42,-4.41,-16.86
230,4.82,-3.78,-18.5
240,4.39,-2.99,-19.08
250,4.18,-2.26,-18.64
260,4.21,-1.41,-17.69
270,4.39,-0.53,-16.59
280,4.77,0.32,-15.74
290,5.39,1.26,-15.15
300,6.12,2.32,-14.8
310,6.76,3.25,-14.74
320,7.05,3.83,-15.05
330,7.15,4.08,-15.45
340,7.19,3.98,-15.66
350,7.1,3.71,-15.72
360,7.1,3.24,-15.6
370,7.31,2.53,-15.27
380,7.69,1.87,-14.77
390,8.43,1.34,-14.16
400,9.58,0.92,-13.58
410,11.03,0.68,-13.2
420,12.57,0.57,-12.96
430,14.38,0.73,-12.8
440,16.41,1.24,-12.65
450,18.86,2.01,-12.39
460,21.09,2.91,-12.02
470,23.27,3.87,-11.54
480,25.16,4.66,-10.99
490,26.38,4.73,-10.34
500,26.42,4.46,-9.47
510,25.14,4.23,-8.5
520,22.69,4.0,-7.43
530,19.65,4.0,-6.4
540,16.49,4.1,-5.46
550,13.7,4.32,-4.77
560,11.51,4.21,-4.48
570,9.98,3.83,-4.3
580,9.06,3.33,-3.88
590,8.53,2.86,-3.17
600,8.28,2.49,-2.16
610,7.7,2.13,-1.05
620,6.06,1.26,-0.11
630,3.3,-0.21,0.79
640,1.24,-1.53,2.47
650,-0.06,-2.5,4.82
660,-0.75,-2.46,6.94
670,-0.62,-2.06,8.31
680,0.56,-1.88,8.87
690,3.53,-2.11,7.63
700,7.32,-2.57,4.89
710,10.37,-3.0,1.4
720,11.77,-3.54,-2.09
730,11.39,-4.64,-6.56
740,9.67,-5.62,-10.58
750,6.75,-5.64,-14.11
760,3.0,-5.77,-17.1
770,-0.01,-5.52,-19.86
780,-0.78,-4.8,-22.41
790,-0.36,-3.29,-23.41
800,0.91,-1.25,-23.66
810,2.55,0.09,-23.34
820,3.73,0.8,-22.72
830,4.31,1.46,-21.67
840,4.69,1.96,-20.31
850,4.87,2.27,-19.07
860,4.96,2.35,-18.11
870,5.17,2.42,-17.22
880,5.53,2.51,-16.06
890,5.92,2.7,-14.75
900,6.36,2.77,-13.49
910,6.89,2.53,-12.34
920,7.64,2.3,-11.28
930,8.5,2.07,-10.24
940,9.36,2.05,-9.22
950,9.88,2.24,-8.32
960,10.16,2.61,-7.57
970,10.42,3.3,-7.07
980,10.86,4.36,-6.8
990,11.31,5.33,-6.9
1000,11.68,6.05,-7.37
