timestamp,x,y,z
0,-0.53,-4.56,10.97
10,-1.05,-3.39,8.65
20,-1.95,-1.7,5.35
30,-3.57,0.27,0.53
40,-5.6,2.2,-6.85
50,-6.8,4.57,-16.69
60,-8.08,7.91,-28.83
70,-8.23,11.02,-40.78
80,-4.56,14.55,-48.79
90,2.4,17.85,-49.89
100,9.52,20.39,-44.89
110,13.52,21.16,-37.31
120,13.5,19.82,-29.98
130,10.98,17.5,-23.93
140,7.9,15.01,-19.21
150,4.96,13.1,-15.89
160,2.54,11.85,-13.49
170,0.54,10.95,-11.66
180,-0.74,9.48,-10.09
190,-1.37,7.8,-8.64
200,-1.71,5.97,-6.87
210,-2.12,3.85,-4.76
220,-2.69,1.56,-2.07
230,-3.08,-0.72,1.26
240,-3.15,-2.83,4.87
250,-2.88,-4.93,8.46
260,-2.46,-6.4,12.19
270,-1.89,-7.53,15.69
280,-1.13,-7.9,18.84
290,-0.18,-7.98,21.33
300,0.72,-7.36,22.9
310,1.37,-6.84,23.45
320,1.54,-6.22,22.89
330,1.15,-5.75,21.15
340,0.53,-4.99,18.49
350,-0.29,-4.21,15.51
360,-1.03,-3.08,12.29
370,-1.95,-1.53,8.42
380,-2.96,0.1,3.6
390,-4.0,1.96,-2.65
400,-4.58,4.11,-11.03
410,-5.2,7.04,-20.97
420,-5.85,10.59,-30.96
430,-4.87,13.81,-39.12
440,-0.86,17.18,-44.69
450,4.44,19.4,-46.9
460,9.24,20.02,-44.79
470,11.82,19.53,-38.89
480,11.66,17.23,-31.78
490,10.35,13.23,-25.31
500,7.69,13.37,-19.16
510,2.51,15.82,-10.79
520,-1.05,11.63,-7.6
530,-1.93,9.53,-7.98
540,-2.6,8.26,-8.5
550,-3.11,5.81,-8.12
560,-2.99,3.33,-6.47
570,-2.46,1.46,-3.47
580,-2.21,-0.74,-0.04
590,-2.15,-2.79,3.32
600,-2.06,-4.52,6.74
610,-1.88,-5.91,10.08
620,-1.1,-7.02,13.51
630,0.14,-7.64,16.65
640,1.48,-8.15,19.18
650,2.69,-8.04,21.22
660,3.46,-7.38,22.64
670,3.58,-6.58,23.16
680,3.23,-5.9,22.45
690,2.51,-5.51,20.65
700,1.76,-5.16,18.22
710,1.0,-4.74,15.54
720,0.19,-4.14,12.64
730,-0.74,-3.27,9.36
740,-1.67,-2.04,5.64
750,-2.36,-0.6,0.71
760,-4.22,1.29,-7.58
770,-6.64,4.14,-20.43
780,-9.38,7.68,-35.78
790,-7.85,11.09,-49.04
800,-0.27,15.03,-54.92
810,8.53,17.66,-53.01
820,14.25,18.85,-46.05
830,14.96,18.53,-37.27
840,11.36,16.65,-29.75
850,6.89,14.11,-25.53
860,3.56,11.42,-21.7
870,2.3,9.13,-17.27
880,2.29,7.24,-12.56
890,2.24,4.95,-8.06
900,1.39,2.43,-3.67
910,-0.15,0.12,0.66
920,-2.11,-1.25,5.17
930,-3.87,-1.61,9.34
940,-5.01,-2.94,11.77
950,-5.42,-4.62,13.26
960,-5.12,-5.53,15.28
970,-4.11,-6.04,17.22
980,-3.07,-6.84,18.84
990,-2.2,-7.49,20.3
1000,-1.81,-7.71,20.93
