timestamp,x,y,z
0,-0.65,-6.37,-5.34
10,-1.13,-6.15,-6.73
20,-1.62,-5.94,-8.43
30,-1.83,-5.79,-10.52
40,-1.95,-5.58,-12.46
50,-1.57,-6.19,-14.2
60,-0.69,-6.85,-15.51
70,0.59,-6.68,-17.19
80,1.92,-5.38,-19.3
90,3.79,-5.95,-21.5
100,5.41,-7.2,-22.09
110,6.34,-8.12,-22.35
120,7.48,-8.49,-22.65
130,8.39,-9.98,-22.72
140,8.59,-11.89,-23.55
150,5.5,-13.18,-22.83
160,-4.2,-13.35,-16.38
170,-19.73,-11.98,1.04
180,-38.33,-4.47,31.69
190,-47.67,14.09,56.02
200,-53.06,20.48,60.66
210,-32.65,15.84,39.09
220,2.37,8.97,25.97
230,0.67,9.27,28.06
240,-2.38,10.56,17.2
250,-2.35,9.25,9.19
260,0.73,7.72,4.47
270,2.99,8.47,0.99
280,4.22,8.96,0.74
290,6.0,6.74,-1.13
300,9.37,3.6,-7.88
310,8.49,2.27,-9.69
320,5.85,1.97,-9.77
330,5.02,1.2,-10.67
340,5.18,0.01,-12.38
350,5.07,-0.3,-14.44
360,4.14,-0.27,-15.46
370,3.41,-0.72,-15.39
380,3.09,-1.12,-14.91
390,3.43,-1.47,-14.78
400,3.48,-1.85,-13.89
410,4.42,-1.92,-13.75
420,5.47,-2.31,-13.14
430,6.68,-3.34,-13.63
440,6.85,-4.46,-14.42
450,4.69,-5.36,-11.72
460,2.31,-5.45,-8.58
470,-1.35,-5.27,-5.18
480,-7.41,-4.88,1.28
490,-14.01,-3.45,8.54
500,-19.49,-0.49,14.6
510,-24.86,5.23,21.21
520,-28.96,10.57,25.68
530,-31.96,12.41,28.95
540,-35.59,13.08,29.67
550,-36.87,14.09,25.82
560,-35.71,14.4,19.86
570,-33.78,13.45,13.92
580,-32.25,12.52,8.8
590,-31.12,13.14,6.14
600,-30.05,12.33,5.12
610,-27.96,11.27,5.2
620,-25.43,9.68,5.92
630,-20.51,7.41,5.91
640,-16.91,3.99,6.31
650,-14.29,1.07,4.84
660,-12.38,-1.07,1.9
670,-10.25,-2.94,-1.31
680,-8.04,-4.54,-4.09
690,-6.2,-6.16,-5.89
700,-4.52,-7.04,-7.65
710,-3.13,-7.3,-9.0
720,-2.43,-7.53,-9.92
730,-1.76,-7.81,-10.93
740,-1.07,-8.07,-11.97
750,-0.05,-8.35,-13.35
760,1.41,-8.55,-15.72
770,2.83,-8.83,-18.89
780,4.03,-8.84,-22.18
790,5.17,-8.47,-25.64
800,6.23,-7.81,-28.17
810,6.87,-7.48,-29.73
820,6.53,-7.76,-29.35
830,4.86,-8.69,-28.81
840,1.6,-10.22,-26.34
850,-2.87,-12.74,-20.43
860,-7.71,-15.98,-13.14
870,-12.52,-19.32,-5.38
880,-17.26,-21.55,3.2
890,-24.1,-19.51,14.16
900,-29.16,-12.56,23.82
910,-30.15,-4.37,31.35
920,-28.6,3.6,38.97
930,-23.02,8.32,42.18
940,-14.13,8.82,37.85
950,-3.92,5.13,31.48
960,5.24,2.51,24.4
970,9.28,2.01,19.85
980,8.01,1.98,18.95
990,3.93,2.74,20.35
1000,0.79,4.24,21.33
