timestamp,x,y,z
0,11.0,-2.34,-20.71
10,10.11,-2.31,-20.31
20,8.88,-2.63,-19.4
30,7.24,-3.33,-17.81
40,5.72,-4.02,-15.59
50,4.74,-4.44,-13.12
60,4.2,-4.49,-10.71
70,3.83,-4.32,-8.12
80,3.43,-3.82,-5.02
90,3.11,-3.02,-2.25
100,2.86,-1.88,0.28
110,2.64,-0.53,2.48
120,2.36,0.8,4.09
130,1.88,2.13,4.92
140,1.2,3.36,5.11
150,0.39,4.2,5.11
160,-0.53,4.72,5.08
170,-1.62,5.08,5.05
180,-2.8,5.4,5.25
190,-3.92,5.69,5.76
200,-4.81,5.91,6.52
210,-5.57,6.19,7.46
220,-6.27,6.43,8.58
230,-6.76,6.56,9.81
240,-7.18,6.83,11.02
250,-7.61,7.04,12.1
260,-7.92,6.97,12.83
270,-8.06,6.96,13.26
280,-8.01,6.96,13.41
290,-7.73,6.86,13.41
300,-7.26,6.76,13.21
310,-6.65,6.69,12.78
320,-5.99,6.45,12.17
330,-5.33,6.17,11.45
340,-4.73,5.83,10.65
350,-4.19,5.39,9.89
360,-3.75,4.84,9.2
370,-3.43,4.24,8.49
380,-3.09,3.54,7.56
390,-2.64,2.73,6.52
400,-2.09,1.91,5.51
410,-1.51,1.04,4.55
420,-0.96,0.03,3.6
430,-0.42,-1.02,2.58
440,0.13,-2.14,1.41
450,0.76,-3.42,0.12
460,1.68,-4.81,-1.4
470,2.9,-5.84,-3.64
480,4.42,-6.27,-6.9
490,6.67,-6.49,-11.08
500,9.59,-6.11,-16.67
510,12.19,-5.1,-23.01
520,14.45,-4.59,-29.17
530,16.21,-4.58,-34.43
540,16.85,-4.85,-37.58
550,16.96,-5.02,-38.13
560,16.4,-5.21,-36.14
570,15.69,-5.1,-33.27
580,15.01,-4.6,-30.47
590,14.38,-3.87,-27.9
600,13.86,-3.18,-26.07
610,13.36,-2.75,-24.85
620,12.49,-2.38,-23.82
630,11.2,-2.4,-22.44
640,9.81,-2.81,-20.57
650,8.3,-3.35,-18.36
660,6.6,-4.01,-15.9
670,5.27,-4.68,-13.23
680,4.47,-4.89,-10.64
690,3.75,-4.85,-7.96
700,3.02,-4.73,-5.15
710,2.35,-4.34,-2.35
720,1.84,-3.6,0.35
730,1.38,-2.49,2.65
740,0.88,-1.3,4.51
750,0.32,-0.09,5.89
760,-0.42,1.03,7.02
770,-1.44,1.94,8.18
780,-2.71,2.62,9.8
790,-4.2,3.06,11.89
800,-5.82,3.55,14.51
810,-7.2,3.79,16.85
820,-8.47,4.06,19.04
830,-9.51,4.42,20.9
840,-10.32,4.52,22.12
850,-10.76,4.58,22.22
860,-10.92,4.42,21.45
870,-10.82,4.03,20.5
880,-10.36,3.58,19.55
890,-9.43,3.1,18.41
900,-8.03,2.61,16.95
910,-6.62,2.02,15.41
920,-5.19,1.2,13.86
930,-3.87,0.24,12.19
940,-2.85,-0.83,10.08
950,-2.09,-1.93,7.45
960,-1.72,-3.28,4.8
970,-1.67,-4.93,2.31
980,-1.29,-6.66,-0.33
990,-0.21,-8.4,-3.39
1000,1.67,-9.28,-7.24
