timestamp,x,y,z
0,-4.26,4.47,-7.17
10,-3.93,4.41,-6.48
20,-3.1,4.01,-5.72
30,-2.4,4.21,-5.05
40,-1.79,3.74,-3.93
50,-1.22,3.51,-2.45
60,-0.96,3.22,-0.98
70,-0.73,3.11,0.68
80,-0.22,2.98,2.72
90,0.31,3.04,5.13
100,0.77,3.08,7.65
110,1.26,3.25,10.09
120,1.87,3.36,12.62
130,2.5,3.38,14.98
140,3.25,3.64,16.62
150,3.59,3.89,17.79
160,3.57,3.75,19.13
170,3.63,3.26,20.8
180,3.8,2.66,22.43
190,4.27,1.78,23.46
200,5.06,1.03,23.49
210,5.84,0.1,22.54
220,6.31,-0.84,20.59
230,6.18,-1.96,17.91
240,6.03,-3.16,15.0
250,5.75,-4.64,11.85
260,5.02,-6.46,8.37
270,3.3,-8.68,3.66
280,0.7,-10.84,-3.47
290,-2.89,-12.33,-13.94
300,-6.9,-12.32,-26.44
310,-9.5,-11.45,-41.65
320,-11.14,-9.67,-55.0
330,-10.58,-7.47,-61.73
340,-6.82,-5.71,-60.94
350,-1.67,-2.77,-53.77
360,2.68,0.22,-44.36
370,4.99,2.52,-36.15
380,4.39,3.76,-29.63
390,1.65,3.59,-24.38
400,-0.83,3.39,-20.33
410,-2.45,3.53,-17.5
420,-3.38,3.38,-15.5
430,-3.09,3.52,-13.95
440,-2.36,3.43,-12.35
450,-1.92,3.0,-10.76
460,-1.36,2.65,-8.99
470,-0.74,2.5,-7.08
480,-0.19,2.33,-5.17
490,0.12,2.19,-3.27
500,0.11,1.92,-1.52
510,0.06,1.55,0.32
520,0.31,1.23,2.42
530,0.67,1.01,4.44
540,1.07,1.11,6.84
550,1.61,1.29,9.96
560,1.95,1.53,13.59
570,2.18,1.81,16.95
580,2.34,1.89,19.61
590,2.49,1.79,21.46
600,2.51,1.54,22.44
610,2.4,1.22,22.83
620,2.47,0.69,22.97
630,2.99,0.21,22.81
640,3.95,-0.21,22.3
650,4.96,-0.53,21.33
660,5.69,-1.18,20.2
670,5.93,-1.92,18.89
680,5.84,-2.84,17.33
690,5.33,-3.78,15.54
700,4.47,-4.88,13.78
710,3.75,-6.23,12.25
720,3.39,-7.69,10.46
730,2.79,-9.63,7.55
740,1.63,-12.01,2.72
750,0.41,-14.57,-4.97
760,-1.44,-17.08,-16.99
770,-4.22,-18.4,-32.76
780,-7.63,-18.43,-52.28
790,-11.95,-18.56,-68.61
800,-12.12,-15.73,-77.62
810,-8.23,-11.43,-75.07
820,-2.94,-7.05,-62.37
830,1.88,-3.03,-47.15
840,4.02,-0.54,-35.09
850,2.33,0.56,-27.75
860,-1.32,0.6,-24.04
870,-4.87,0.05,-21.59
880,-6.96,-0.29,-20.19
890,-7.42,-0.29,-18.92
900,-6.57,-0.28,-17.44
910,-4.72,-1.03,-15.6
920,-2.55,-1.76,-13.96
930,-1.19,-2.59,-12.07
940,-0.35,-3.7,-9.89
950,0.37,-4.15,-6.86
960,-0.61,-5.79,-4.29
970,-1.91,-7.26,-2.19
980,-2.04,-7.24,0.11
990,-2.22,-8.12,2.52
1000,-1.97,-8.6,5.18
