timestamp,x,y,z
0,2.32,-8.05,1.43
10,1.98,-7.13,3.35
20,1.59,-6.49,4.77
30,1.54,-5.98,6.08
40,1.81,-5.98,7.78
50,2.81,-6.4,10.49
60,5.5,-6.43,14.76
70,9.55,-5.87,20.9
80,13.51,-5.15,27.28
90,16.41,-4.94,32.01
100,17.2,-5.99,32.62
110,15.39,-8.62,28.32
120,12.39,-11.97,21.34
130,9.12,-15.58,14.08
140,6.52,-18.52,8.28
150,4.61,-21.4,3.59
160,3.26,-24.3,-0.22
170,2.67,-27.41,-3.54
180,2.63,-30.1,-7.21
190,2.22,-31.83,-12.55
200,1.46,-31.2,-19.12
210,0.17,-27.89,-25.78
220,-1.24,-23.58,-29.93
230,-2.24,-19.52,-31.81
240,-2.63,-16.86,-33.12
250,-3.16,-14.63,-34.6
260,-4.68,-12.16,-37.86
270,-7.45,-9.44,-42.89
280,-10.86,-6.07,-48.32
290,-14.2,-2.98,-52.17
300,-16.74,-0.87,-53.41
310,-17.77,-0.35,-51.94
320,-17.05,-1.44,-48.67
330,-14.98,-3.9,-44.0
340,-12.3,-7.14,-38.68
350,-10.08,-10.64,-34.17
360,-7.75,-13.3,-29.78
370,-5.83,-15.18,-26.33
380,-4.7,-16.42,-24.5
390,-3.66,-17.51,-22.68
400,-2.48,-17.99,-20.28
410,-1.25,-17.86,-17.53
420,-0.32,-17.28,-14.57
430,0.37,-16.32,-11.56
440,0.87,-15.05,-9.0
450,1.52,-13.63,-6.46
460,2.29,-12.0,-4.04
470,3.02,-10.75,-1.97
480,3.76,-9.6,0.24
490,4.4,-8.59,2.56
500,4.97,-8.02,4.25
510,5.31,-8.02,5.08
520,5.52,-8.48,5.7
530,6.05,-9.1,7.36
540,7.16,-9.8,11.02
550,9.14,-10.11,17.08
560,11.91,-9.86,24.3
570,15.25,-9.39,30.4
580,17.56,-9.29,33.4
590,17.62,-10.21,33.2
600,15.76,-11.91,30.83
610,13.06,-14.36,27.24
620,10.3,-17.55,22.76
630,7.23,-20.97,17.65
640,3.71,-24.68,12.71
650,0.2,-28.74,8.61
660,-2.09,-33.16,4.99
670,-2.99,-38.08,0.7
680,-4.99,-43.37,-7.27
690,-10.39,-43.92,-20.53
700,-19.32,-41.89,-37.87
710,-27.67,-32.68,-52.2
720,-27.99,-22.15,-56.99
730,-17.55,-15.76,-55.11
740,-4.56,-10.42,-50.9
750,5.49,-4.51,-48.74
760,10.0,0.4,-50.3
770,9.75,2.31,-52.77
780,7.25,2.06,-52.86
790,3.94,-0.21,-50.1
800,1.3,-3.68,-44.91
810,-0.34,-7.25,-38.52
820,-0.57,-9.99,-31.67
830,-0.24,-11.96,-25.97
840,-0.3,-12.84,-21.7
850,-0.79,-12.84,-18.43
860,-0.74,-11.93,-15.29
870,-0.99,-10.96,-12.81
880,-1.38,-9.48,-11.37
890,-2.04,-8.08,-10.29
900,-2.17,-7.62,-8.13
910,-1.36,-7.04,-4.9
920,-0.04,-5.75,-1.44
930,1.31,-4.27,1.62
940,2.21,-2.77,4.43
950,1.97,-1.81,6.7
960,0.22,-1.33,9.24
970,-2.06,-1.34,12.79
980,-3.09,-1.99,17.06
990,-2.01,-2.73,21.15
1000,0.77,-2.29,24.47
