timestamp,x,y,z
0,7.36,4.35,14.17
10,7.79,4.63,14.96
20,8.12,4.9,15.12
30,8.16,4.88,14.73
40,7.97,4.77,14.43
50,7.68,4.6,14.29
60,7.26,4.95,14.0
70,6.69,4.81,13.51
80,6.17,4.86,12.88
90,5.51,4.38,11.54
100,4.51,2.45,8.53
110,3.09,-0.86,2.49
120,0.21,-4.29,-6.7
130,-5.01,-7.69,-17.79
140,-10.12,-9.49,-30.31
150,-15.66,-10.79,-45.73
160,-20.46,-7.07,-54.56
170,-20.59,-2.02,-53.75
180,-13.47,0.45,-47.04
190,-6.19,1.36,-36.72
200,-1.12,3.36,-25.2
210,1.96,4.67,-16.52
220,3.68,6.5,-9.96
230,4.77,7.82,-6.25
240,3.41,7.18,-3.69
250,1.76,6.82,-2.71
260,0.25,6.17,-2.09
270,0.59,6.44,-1.92
280,0.57,5.49,-1.26
290,0.4,4.86,-0.07
300,0.26,3.96,1.23
310,1.08,4.32,3.0
320,2.81,4.75,4.38
330,3.95,4.35,5.79
340,4.64,4.52,7.41
350,5.24,4.59,8.67
360,5.89,4.66,9.62
370,6.37,4.85,10.37
380,6.67,5.04,10.94
390,6.9,5.15,11.41
400,7.14,5.14,11.77
410,7.42,5.05,12.3
420,7.84,5.09,12.93
430,8.07,5.33,13.57
440,7.96,5.49,14.19
450,7.64,5.27,14.62
460,7.22,5.41,14.26
470,6.47,4.32,12.63
480,5.74,1.19,8.81
490,4.9,-3.17,2.05
500,2.78,-8.53,-9.0
510,-2.2,-12.95,-21.13
520,-7.72,-13.04,-36.74
530,-13.08,-14.2,-54.06
540,-20.09,-10.76,-65.69
550,-23.08,-4.44,-65.69
560,-16.51,-2.35,-54.97
570,-8.18,-1.15,-38.09
580,-2.52,-0.31,-23.3
590,-2.55,-0.41,-11.97
600,-6.29,-0.58,-6.55
610,-4.63,5.72,-2.17
620,-3.54,3.88,-2.46
630,-4.48,2.66,-1.11
640,-4.01,3.41,-0.7
650,-3.49,2.79,-0.38
660,-3.28,2.1,0.73
670,-2.52,1.67,2.38
680,-1.51,1.25,4.33
690,-0.87,0.92,6.37
700,-0.29,0.6,8.11
710,1.17,0.43,9.86
720,2.51,0.72,11.42
730,3.49,1.24,12.7
740,4.46,1.91,13.98
750,5.6,2.94,15.4
760,6.89,4.0,16.7
770,8.59,4.83,17.8
780,10.0,5.53,19.14
790,11.34,5.79,19.33
800,12.0,5.83,18.78
810,12.33,5.55,17.66
820,12.07,5.16,16.12
830,11.41,4.14,13.13
840,10.03,1.58,8.67
850,7.94,-2.55,0.78
860,1.89,-7.65,-10.12
870,-5.26,-10.58,-25.75
880,-14.44,-13.69,-42.37
890,-27.74,-12.8,-52.46
900,-35.43,-6.36,-55.43
910,-29.87,-1.78,-51.59
920,-17.32,0.85,-41.31
930,-7.47,2.0,-28.43
940,-2.51,3.73,-17.36
950,-0.13,5.66,-10.13
960,-0.5,6.23,-5.28
970,0.15,7.3,-3.52
980,-0.01,7.05,-2.06
990,0.43,7.22,-1.27
1000,0.08,6.23,-0.56
