timestamp,x,y,z
0,-3.6,-1.41,4.57
10,-2.94,-1.92,2.97
20,-1.74,-2.37,1.24
30,0.2,-2.04,-0.58
40,3.15,-0.58,-2.77
50,6.95,2.47,-6.03
60,11.32,5.8,-9.96
70,14.97,8.15,-15.23
80,15.47,8.65,-22.36
90,11.22,7.88,-27.25
100,5.42,7.14,-26.8
110,1.14,7.28,-23.04
120,-1.48,7.36,-18.99
130,-2.9,7.04,-16.02
140,-2.99,6.98,-14.04
150,-1.7,7.54,-12.54
160,0.0,8.46,-11.39
170,0.96,9.17,-10.33
180,1.22,9.53,-9.36
190,1.02,9.72,-8.38
200,0.67,9.63,-7.22
210,0.43,9.54,-5.99
220,0.21,9.48,-4.92
230,0.09,9.26,-3.9
240,-0.23,9.03,-2.97
250,-0.59,8.83,-2.21
260,-0.77,8.81,-1.33
270,-0.66,8.9,-0.37
280,-0.84,8.98,0.42
290,-0.96,8.93,0.88
300,-1.0,8.8,1.19
310,-0.98,8.66,1.39
320,-0.91,8.57,1.5
330,-0.95,8.49,1.38
340,-1.21,8.46,1.26
350,-1.45,8.45,1.33
360,-1.61,8.42,1.39
370,-1.74,8.41,1.51
380,-1.84,8.45,1.64
390,-1.91,8.56,1.78
400,-2.04,8.61,1.96
410,-2.2,8.54,1.99
420,-2.35,8.81,2.08
430,-2.3,8.94,2.26
440,-2.22,9.07,2.36
450,-2.22,9.31,2.41
460,-2.16,9.43,2.31
470,-2.1,9.48,2.14
480,-1.99,9.56,1.96
490,-1.85,9.68,1.73
500,-1.71,9.77,1.47
510,-1.37,9.82,1.15
520,-0.83,9.99,0.74
530,-0.26,10.3,0.15
540,0.39,10.52,-0.59
550,0.97,10.73,-1.49
560,1.4,10.83,-2.44
570,1.47,10.82,-3.3
580,1.23,10.69,-3.91
590,1.34,10.63,-4.47
600,1.66,10.85,-4.9
610,2.01,11.05,-5.2
620,2.34,10.95,-5.43
630,2.4,10.54,-5.38
640,2.16,9.93,-4.95
650,1.6,9.34,-4.19
660,0.69,8.75,-3.2
670,-0.31,8.11,-1.94
680,-1.12,7.59,-0.45
690,-1.54,7.19,1.08
700,-1.66,6.91,2.54
710,-1.77,6.69,3.95
720,-1.9,6.43,5.04
730,-2.18,6.08,5.68
740,-2.68,5.56,6.21
750,-3.08,5.13,6.91
760,-3.33,4.76,7.74
770,-3.5,4.47,8.5
780,-3.67,4.19,9.15
790,-4.0,3.8,9.82
800,-4.33,3.32,10.55
810,-4.68,3.06,11.28
820,-5.01,2.81,11.97
830,-5.24,2.56,12.68
840,-5.4,2.51,13.23
850,-5.45,2.53,13.5
860,-5.55,2.44,13.42
870,-5.75,2.35,13.19
880,-5.95,2.19,13.01
890,-6.13,2.19,12.93
900,-6.25,2.4,12.67
910,-6.42,2.7,12.03
920,-6.47,2.86,11.07
930,-6.35,2.86,9.86
940,-6.06,3.06,8.45
950,-5.52,3.11,6.95
960,-4.86,3.11,5.41
970,-4.22,3.12,3.99
980,-3.27,3.22,2.5
990,-1.83,3.93,0.69
1000,0.18,5.16,-1.9
