timestamp,x,y,z
0,-3.29,2.36,16.21
10,-2.26,2.99,15.33
20,-1.7,3.51,14.88
30,-1.72,3.97,14.06
40,-1.86,4.03,12.61
50,-2.03,3.43,11.33
60,-2.4,3.2,10.78
70,-2.69,2.8,9.71
80,-2.95,2.49,8.66
90,-2.72,1.7,7.41
100,-2.26,1.13,6.29
110,-1.72,0.48,5.29
120,-1.29,-0.29,4.31
130,-0.96,-1.28,3.43
140,-0.62,-2.23,2.68
150,-0.17,-3.11,1.88
160,0.3,-3.89,1.12
170,0.63,-4.59,0.56
180,1.13,-5.03,0.35
190,1.65,-5.37,0.31
200,2.09,-5.64,0.28
210,2.55,-5.8,0.0
220,2.79,-6.06,-0.74
230,2.62,-6.05,-1.67
240,1.77,-5.92,-2.68
250,0.09,-5.77,-3.84
260,-2.47,-5.93,-5.51
270,-5.64,-6.45,-7.9
280,-8.48,-6.0,-11.41
290,-10.56,-4.88,-17.42
300,-12.81,-2.73,-25.1
310,-15.74,-0.18,-30.82
320,-17.45,2.17,-32.95
330,-15.54,4.51,-30.93
340,-10.75,6.13,-25.9
350,-5.61,7.17,-19.8
360,-1.15,8.29,-14.5
370,2.18,9.72,-11.07
380,4.06,10.6,-10.89
390,5.36,10.79,-13.26
400,5.73,10.53,-16.07
410,4.62,9.89,-18.28
420,2.15,8.73,-19.85
430,-0.63,7.31,-20.86
440,-2.47,6.28,-21.01
450,-2.83,5.67,-20.41
460,-1.99,5.25,-19.03
470,-0.88,4.75,-17.26
480,0.5,4.22,-15.29
490,1.76,3.8,-13.39
500,2.59,3.29,-11.76
510,2.85,2.73,-10.57
520,2.74,1.92,-9.61
530,2.4,1.48,-8.54
540,2.14,0.78,-7.68
550,1.83,0.33,-6.78
560,1.49,-0.16,-5.8
570,1.17,-0.55,-4.86
580,0.79,-0.85,-4.07
590,0.41,-1.14,-3.37
600,0.15,-1.47,-2.72
610,-0.02,-1.77,-2.15
620,-0.08,-2.16,-1.83
630,-0.03,-1.51,-1.73
640,0.55,-4.5,-2.54
650,-0.06,-4.11,-1.59
660,-0.43,-4.01,-0.75
670,-0.65,-4.86,-0.51
680,-1.26,-6.46,-0.22
690,-2.15,-8.7,0.49
700,-3.07,-11.04,2.46
710,-3.64,-12.91,5.09
720,-3.51,-14.57,7.59
730,-2.82,-16.11,10.24
740,-2.2,-17.25,13.4
750,-1.68,-18.22,16.51
760,-1.18,-19.15,19.31
770,-1.38,-20.28,20.59
780,-1.78,-21.74,20.88
790,-2.75,-23.12,22.74
800,-4.24,-24.1,26.93
810,-4.95,-23.98,32.31
820,-4.74,-23.54,35.7
830,-4.18,-23.24,36.26
840,-3.77,-22.53,34.39
850,-3.4,-21.83,30.37
860,-3.18,-20.96,25.47
870,-2.66,-19.76,20.88
880,-1.72,-18.21,17.22
890,-0.41,-16.67,14.67
900,0.96,-15.15,13.38
910,2.05,-13.83,13.02
920,3.02,-12.9,12.96
930,3.61,-12.11,13.48
940,3.6,-11.57,14.29
950,3.09,-11.4,14.91
960,2.32,-11.52,15.06
970,1.52,-11.78,14.29
980,0.84,-12.03,12.91
990,0.33,-12.23,11.22
1000,0.08,-12.29,9.41
