timestamp,x,y,z
0,10.62,-4.22,53.27
10,16.42,-3.54,46.2
20,18.43,-2.66,39.64
30,16.8,-0.65,32.7
40,13.14,1.28,25.92
50,8.75,3.19,20.91
60,5.06,4.47,17.4
70,2.32,5.39,15.36
80,0.85,5.73,13.77
90,0.33,5.6,12.16
100,0.23,5.23,10.65
110,0.12,4.72,9.18
120,-0.26,4.19,7.48
130,-0.82,3.65,5.66
140,-1.35,3.07,3.72
150,-1.56,2.27,1.72
160,-1.24,1.5,-0.11
170,-0.73,0.7,-1.6
180,-0.31,0.06,-2.88
190,-0.08,-0.39,-3.7
200,-0.06,-0.75,-4.44
210,-0.4,-0.63,-5.31
220,-0.6,-0.99,-6.41
230,-0.79,-1.96,-6.92
240,-0.52,-3.06,-7.86
250,0.23,-4.28,-10.23
260,1.42,-5.58,-13.43
270,2.95,-7.12,-16.75
280,4.76,-8.35,-19.94
290,6.16,-9.07,-22.58
300,7.06,-9.32,-25.05
310,7.38,-9.31,-26.58
320,7.33,-9.03,-26.44
330,6.78,-9.1,-25.97
340,5.71,-9.12,-25.56
350,3.96,-8.82,-24.6
360,1.92,-8.31,-22.99
370,-0.07,-7.41,-20.13
380,-1.38,-6.55,-17.3
390,-1.7,-5.96,-15.39
400,-1.4,-5.68,-13.51
410,-0.53,-5.95,-11.59
420,0.01,-6.3,-9.8
430,-0.39,-6.9,-7.62
440,-1.87,-7.77,-4.87
450,-4.13,-7.91,0.36
460,-6.85,-8.26,9.26
470,-8.96,-8.71,23.02
480,-9.69,-10.26,37.75
490,-7.22,-6.82,51.38
500,-4.85,-4.13,62.73
510,0.52,-3.6,62.5
520,4.84,-4.49,54.4
530,8.57,-3.48,44.76
540,9.61,-2.15,37.52
550,9.0,-0.6,31.68
560,8.05,0.83,25.25
570,6.55,1.76,19.6
580,5.48,2.54,14.67
590,4.18,3.3,10.96
600,3.11,4.05,8.19
610,2.09,4.73,5.81
620,1.32,4.93,3.85
630,0.73,5.02,2.33
640,0.19,5.12,1.05
650,-0.16,5.04,-0.35
660,-0.64,4.93,-1.59
670,-1.08,4.87,-2.59
680,-1.26,4.72,-3.4
690,-1.08,4.56,-4.08
700,-0.68,4.17,-4.41
710,-0.17,3.69,-4.41
720,0.46,3.19,-4.48
730,0.91,2.67,-4.62
740,1.28,2.0,-4.78
750,1.53,1.37,-5.25
760,1.51,0.69,-5.54
770,1.41,0.1,-5.98
780,1.19,-0.4,-6.7
790,0.92,-1.0,-7.91
800,0.83,-1.48,-9.47
810,0.8,-2.06,-10.94
820,1.1,-2.65,-12.86
830,1.87,-3.62,-15.83
840,3.0,-4.98,-18.91
850,4.29,-5.78,-20.9
860,5.48,-6.55,-22.22
870,6.64,-7.13,-24.19
880,6.82,-6.21,-24.9
890,5.94,-6.64,-25.02
900,5.6,-8.1,-26.51
910,4.04,-8.49,-25.95
920,2.68,-9.39,-25.75
930,0.95,-10.05,-24.32
940,-0.5,-10.39,-21.22
950,-1.44,-10.49,-16.85
960,-1.85,-10.92,-12.07
970,-1.97,-11.79,-7.66
980,-2.3,-13.18,-2.05
990,-2.5,-13.69,4.76
1000,-2.06,-14.18,13.9
