timestamp,x,y,z
0,-25.15,7.59,-10.03
10,-24.16,7.22,-8.07
20,-22.23,6.86,-6.42
30,-19.98,6.66,-5.33
40,-17.76,6.44,-4.95
50,-15.61,6.17,-5.33
60,-13.69,5.88,-5.97
70,-11.95,5.65,-6.47
80,-10.39,5.27,-6.89
90,-8.75,4.97,-7.25
100,-7.34,4.76,-7.41
110,-6.28,4.3,-7.42
120,-5.2,4.05,-7.25
130,-4.46,3.91,-6.74
140,-4.05,3.41,-6.33
150,-3.3,3.04,-6.08
160,-2.36,2.96,-5.91
170,-1.55,2.88,-6.08
180,-0.77,2.8,-6.52
190,-0.04,2.69,-6.86
200,0.61,2.67,-7.01
210,1.07,2.35,-6.96
220,1.39,2.09,-6.41
230,1.63,1.74,-5.77
240,2.09,1.41,-5.55
250,2.72,1.07,-5.58
260,3.5,0.93,-5.45
270,4.28,0.91,-5.18
280,4.98,0.81,-4.91
290,5.79,0.91,-4.62
300,6.54,0.97,-4.44
310,7.19,0.95,-4.27
320,8.17,1.07,-4.66
330,9.83,1.33,-5.87
340,11.76,1.79,-7.13
350,13.35,2.23,-8.11
360,14.55,2.69,-8.67
370,15.16,3.03,-8.51
380,15.34,3.24,-7.63
390,15.71,3.64,-6.4
400,16.31,3.94,-5.31
410,17.2,4.25,-4.63
420,18.36,4.59,-4.47
430,19.74,4.98,-4.7
440,21.2,5.39,-4.88
450,22.23,5.83,-4.47
460,22.7,6.31,-3.66
470,23.04,7.02,-2.82
480,22.71,7.31,-2.36
490,21.91,7.51,-2.2
500,20.87,7.58,-2.43
510,19.77,7.53,-2.97
520,18.77,7.55,-3.64
530,17.89,7.42,-4.56
540,17.12,7.16,-5.67
550,16.68,6.82,-6.66
560,16.59,6.51,-7.31
570,16.66,6.15,-7.58
580,16.32,5.7,-7.18
590,15.47,5.04,-6.29
600,14.43,4.24,-5.42
610,13.28,3.39,-4.65
620,12.4,2.83,-4.3
630,11.81,2.31,-4.3
640,11.2,1.87,-4.26
650,10.42,1.41,-4.25
660,9.51,0.93,-4.14
670,8.5,0.48,-3.94
680,7.33,0.02,-3.73
690,6.06,-0.45,-3.53
700,4.79,-0.95,-3.44
710,3.58,-1.36,-3.27
720,2.3,-1.68,-2.99
730,0.99,-1.93,-2.62
740,-0.26,-2.12,-2.19
750,-1.27,-2.0,-1.76
760,-1.88,-1.65,-1.64
770,-2.12,-1.18,-1.94
780,-2.47,-0.81,-2.43
790,-2.77,-0.36,-2.86
800,-3.09,0.1,-3.24
810,-3.26,0.75,-3.58
820,-3.38,1.59,-4.35
830,-3.82,2.66,-5.53
840,-4.83,3.73,-7.38
850,-6.72,4.84,-9.63
860,-9.0,5.99,-12.28
870,-11.44,6.59,-14.73
880,-13.72,7.01,-16.12
890,-15.8,7.67,-15.83
900,-17.47,7.95,-14.79
910,-19.05,8.03,-13.42
920,-20.6,8.14,-12.17
930,-21.91,8.11,-11.41
940,-22.75,7.83,-11.01
950,-22.87,7.56,-10.43
960,-22.45,7.37,-9.35
970,-21.49,7.24,-8.2
980,-20.19,7.09,-7.29
990,-18.66,6.83,-7.04
1000,-16.9,6.54,-7.44
