timestamp,x,y,z
0,-9.79,-3.32,0.59
10,-9.4,-3.01,1.32
20,-8.75,-2.85,1.97
30,-8.02,-2.78,2.9
40,-7.53,-2.72,3.9
50,-7.27,-2.75,4.93
60,-6.91,-2.8,5.73
70,-6.0,-2.98,6.21
80,-4.85,-3.11,6.65
90,-4.1,-3.02,7.19
100,-3.84,-2.74,7.93
110,-3.72,-2.25,8.54
120,-3.51,-1.96,9.08
130,-3.24,-1.7,9.49
140,-2.87,-1.45,9.9
150,-2.17,-1.57,10.5
160,-0.89,-1.85,10.92
170,0.79,-2.11,10.69
180,2.62,-1.97,9.85
190,4.38,-1.59,8.61
200,5.47,-1.15,7.59
210,5.67,-0.43,7.73
220,5.84,0.43,8.56
230,5.96,1.31,10.39
240,6.36,1.94,12.0
250,6.85,2.36,13.37
260,6.7,2.49,14.94
270,6.38,2.82,16.09
280,5.9,3.12,16.6
290,5.49,3.31,16.34
300,5.45,3.48,15.95
310,6.02,3.38,15.23
320,6.92,3.4,14.42
330,7.49,3.47,14.39
340,7.8,3.58,15.19
350,8.16,3.3,16.1
360,8.8,2.41,16.57
370,9.41,1.46,16.4
380,10.15,0.77,15.56
390,11.01,0.17,14.4
400,11.87,-0.43,13.36
410,12.68,-0.88,12.89
420,13.15,-1.01,12.95
430,13.2,-0.88,13.16
440,12.67,-0.82,13.22
450,11.85,-0.76,12.91
460,10.86,-0.55,12.55
470,9.93,-0.28,12.14
480,9.05,-0.03,11.96
490,8.61,0.34,11.85
500,8.55,0.39,11.6
510,8.37,0.41,11.26
520,7.92,0.39,10.97
530,7.18,0.23,10.69
540,6.23,0.23,10.47
550,5.22,0.41,10.36
560,4.38,0.64,10.3
570,3.79,0.65,10.1
580,3.21,0.51,9.73
590,2.56,0.24,9.25
600,1.91,-0.03,8.61
610,1.28,-0.4,7.96
620,0.55,-0.64,7.41
630,-0.34,-0.69,6.96
640,-1.17,-0.71,6.49
650,-2.0,-0.74,6.02
660,-2.75,-0.89,5.41
670,-3.43,-1.06,4.72
680,-4.06,-1.22,4.0
690,-4.52,-1.24,3.16
700,-5.15,-0.86,2.53
710,-5.67,-0.33,2.07
720,-5.84,0.05,1.84
730,-5.83,0.34,1.73
740,-6.01,0.58,1.66
750,-6.4,0.74,1.64
760,-6.68,0.78,1.53
770,-6.63,0.51,1.35
780,-6.6,0.03,1.37
790,-6.91,-0.14,1.22
800,-7.58,0.13,0.99
810,-8.18,0.19,0.93
820,-8.59,-0.13,1.07
830,-9.67,-0.64,1.99
840,-12.45,-0.17,3.09
850,-15.82,0.99,3.66
860,-17.95,1.87,3.46
870,-17.94,2.11,2.35
880,-16.55,1.79,0.92
890,-15.15,1.1,-0.05
900,-14.95,0.97,-0.46
910,-16.24,1.7,-0.41
920,-17.92,2.58,-0.1
930,-18.82,3.1,0.15
940,-18.81,3.28,0.15
950,-18.26,3.45,-0.12
960,-17.49,3.61,-0.47
970,-16.65,3.82,-0.57
980,-15.95,4.19,-0.55
990,-15.27,4.59,-0.52
1000,-14.43,4.91,-0.39
