timestamp,x,y,z
0,-7.22,5.21,6.76
10,-5.74,4.37,7.54
20,-3.8,3.24,8.12
30,-1.92,2.24,8.12
40,-0.56,1.39,8.01
50,0.42,0.4,8.03
60,1.55,-1.06,7.74
70,3.76,-3.28,6.4
80,7.57,-5.82,3.53
90,10.49,-7.26,0.39
100,11.09,-6.84,-2.24
110,9.67,-5.35,-3.44
120,7.82,-3.73,-3.51
130,5.97,-2.38,-2.89
140,6.27,-2.69,-1.87
150,11.1,-4.75,-2.27
160,17.42,-6.58,-2.11
170,22.18,-7.44,-1.95
180,25.54,-7.78,-1.89
190,27.53,-7.32,-1.17
200,29.14,-6.8,-1.8
210,31.68,-7.12,-5.34
220,33.29,-7.46,-9.32
230,35.43,-8.34,-13.88
240,35.98,-8.95,-15.63
250,34.21,-8.45,-14.71
260,31.34,-7.34,-12.27
270,28.3,-6.4,-9.24
280,25.13,-5.66,-6.38
290,21.9,-4.97,-4.57
300,18.63,-4.36,-3.26
310,15.41,-3.78,-2.09
320,12.07,-3.03,-0.33
330,8.95,-2.43,1.9
340,6.25,-2.33,3.74
350,3.67,-2.59,4.97
360,1.55,-3.01,5.23
370,0.09,-3.69,4.97
380,-0.78,-4.8,4.82
390,-1.44,-5.84,4.9
400,-2.31,-6.5,5.23
410,-3.29,-6.92,5.56
420,-4.24,-7.02,6.07
430,-5.17,-6.87,6.8
440,-6.21,-6.77,7.11
450,-7.29,-6.62,6.8
460,-8.56,-5.98,6.48
470,-9.74,-5.46,6.64
480,-10.73,-5.16,6.85
490,-11.95,-4.91,6.68
500,-13.5,-5.34,6.32
510,-16.08,-6.42,5.19
520,-20.02,-7.41,2.55
530,-25.19,-7.56,-0.93
540,-30.79,-6.41,-4.37
550,-35.74,-4.66,-7.03
560,-39.05,-3.0,-8.32
570,-40.24,-1.77,-8.37
580,-39.57,-1.36,-7.23
590,-37.78,-1.43,-5.7
600,-35.38,-1.48,-4.18
610,-32.42,-1.65,-2.52
620,-29.27,-2.06,-1.02
630,-26.29,-2.48,0.43
640,-23.82,-2.72,1.81
650,-21.69,-2.89,3.03
660,-19.65,-3.31,4.63
670,-17.38,-3.5,6.23
680,-15.2,-3.84,7.7
690,-13.05,-4.53,9.53
700,-11.28,-5.03,11.07
710,-9.83,-5.53,12.25
720,-8.54,-6.31,13.42
730,-7.49,-7.33,14.5
740,-6.82,-8.44,15.38
750,-6.14,-10.32,15.37
760,-4.72,-13.48,14.64
770,-1.99,-16.74,12.88
780,1.95,-18.93,9.35
790,6.34,-20.02,4.33
800,10.96,-20.14,-0.12
810,17.02,-19.89,-3.37
820,24.05,-19.3,-5.42
830,31.11,-18.39,-5.1
840,36.31,-16.66,-3.45
850,41.58,-14.71,-3.22
860,45.38,-12.42,-4.12
870,46.79,-9.91,-6.85
880,46.1,-8.05,-10.76
890,43.54,-7.06,-12.43
900,39.76,-6.4,-11.41
910,35.13,-5.17,-8.69
920,30.56,-3.65,-5.8
930,26.02,-2.14,-3.43
940,21.2,-0.53,-1.32
950,16.56,0.76,1.07
960,12.8,1.28,2.87
970,9.79,1.11,3.93
980,7.17,0.85,4.87
990,5.28,0.55,5.5
1000,3.99,-0.19,6.19
