timestamp,x,y,z
0,17.15,-11.04,-4.09
10,18.36,-11.37,-4.45
20,20.11,-8.96,-4.04
30,21.59,-7.95,-5.42
40,21.69,-7.9,-7.33
50,21.7,-7.69,-9.25
60,21.22,-7.19,-10.29
70,20.46,-6.9,-10.23
80,20.2,-6.5,-9.07
90,21.2,-5.91,-7.46
100,22.57,-5.51,-5.91
110,23.46,-4.98,-4.54
120,23.75,-4.42,-3.38
130,24.14,-4.1,-2.33
140,24.88,-3.8,-1.59
150,25.72,-3.71,-1.28
160,26.49,-3.81,-0.75
170,27.32,-4.07,0.03
180,28.14,-4.42,0.8
190,28.25,-4.61,1.12
200,27.16,-5.42,1.07
210,25.59,-6.33,1.0
220,24.12,-7.15,0.7
230,22.75,-8.47,0.21
240,21.76,-9.89,-0.52
250,20.58,-11.38,-1.51
260,18.56,-12.66,-3.01
270,15.49,-13.74,-4.99
280,12.47,-15.42,-7.39
290,10.47,-17.0,-9.36
300,9.1,-18.11,-10.63
310,7.7,-19.33,-11.33
320,5.47,-20.5,-11.44
330,2.84,-21.67,-11.14
340,-0.11,-21.96,-10.64
350,-3.85,-20.91,-10.07
360,-7.91,-19.2,-9.9
370,-12.32,-18.47,-9.26
380,-16.53,-17.91,-8.74
390,-20.88,-15.37,-8.3
400,-26.0,-11.78,-7.9
410,-31.42,-8.92,-7.65
420,-36.3,-6.33,-7.28
430,-40.75,-5.88,-7.11
440,-44.92,-6.82,-6.52
450,-46.9,-7.55,-5.98
460,-46.57,-8.27,-5.38
470,-43.79,-7.12,-5.25
480,-39.91,-5.93,-5.94
490,-36.63,-4.94,-6.63
500,-34.12,-4.53,-7.45
510,-31.64,-4.71,-8.27
520,-28.37,-5.53,-9.02
530,-24.07,-6.79,-9.71
540,-19.14,-7.88,-10.51
550,-14.53,-9.04,-11.12
560,-10.41,-9.78,-11.02
570,-5.98,-9.83,-10.65
580,-2.26,-9.35,-10.25
590,0.19,-8.55,-10.13
600,1.18,-8.0,-9.87
610,1.6,-8.26,-9.59
620,2.25,-8.03,-9.45
630,3.41,-8.22,-9.24
640,4.82,-9.55,-9.32
650,6.21,-8.25,-8.95
660,6.98,-8.51,-8.96
670,7.59,-8.4,-8.6
680,8.5,-8.26,-8.05
690,10.06,-8.14,-7.27
700,12.93,-9.32,-6.79
710,16.77,-8.36,-5.88
720,20.84,-7.16,-5.87
730,23.63,-5.86,-5.4
740,24.99,-5.96,-4.64
750,26.39,-5.18,-3.58
760,27.67,-4.52,-2.77
770,28.42,-3.71,-1.81
780,28.47,-3.22,-1.39
790,27.92,-3.13,-1.58
800,27.22,-3.13,-2.02
810,26.5,-3.14,-2.61
820,25.84,-3.13,-3.09
830,25.38,-3.04,-3.58
840,24.89,-3.02,-4.02
850,24.1,-3.07,-4.48
860,22.75,-3.32,-4.81
870,21.37,-3.65,-4.88
880,20.42,-4.12,-4.65
890,19.97,-4.62,-4.28
900,19.41,-4.92,-4.02
910,19.07,-5.71,-3.94
920,18.96,-6.46,-4.27
930,18.66,-7.61,-4.96
940,17.88,-9.44,-5.83
950,17.01,-11.41,-6.92
960,15.74,-13.88,-7.99
970,13.35,-16.3,-8.38
980,10.25,-18.32,-8.42
990,7.07,-20.63,-8.47
1000,4.22,-22.84,-8.19
