timestamp,x,y,z
0,-43.81,-43.28,19.21
10,-37.32,-40.53,21.34
20,-29.86,-35.66,22.04
30,-24.2,-31.4,20.34
40,-20.85,-29.17,16.88
50,-19.99,-28.53,12.1
60,-20.42,-29.49,5.67
70,-21.19,-31.3,-2.47
80,-22.08,-33.01,-12.71
90,-22.96,-33.49,-21.78
100,-20.99,-32.65,-25.49
110,-15.87,-31.62,-24.16
120,-10.3,-30.55,-20.69
130,-5.3,-29.29,-17.48
140,-1.46,-27.84,-15.18
150,0.79,-26.65,-13.65
160,2.18,-25.75,-12.75
170,2.86,-25.28,-12.16
180,2.79,-25.62,-11.85
190,2.26,-27.57,-12.09
200,2.87,-31.31,-12.01
210,4.74,-36.14,-11.13
220,7.14,-42.19,-10.12
230,11.69,-47.98,-8.79
240,19.26,-52.7,-7.47
250,30.85,-53.88,-5.95
260,53.77,-46.48,-4.37
270,77.73,-30.24,-2.59
280,78.45,-18.93,0.97
290,66.98,-18.96,3.09
300,46.19,-20.7,5.4
310,28.92,-18.79,8.28
320,18.04,-14.41,10.49
330,13.52,-10.34,10.81
340,13.35,-8.09,9.58
350,15.01,-7.22,7.73
360,18.01,-7.11,6.03
370,21.32,-7.01,5.13
380,24.06,-6.52,5.3
390,25.54,-5.85,6.3
400,25.37,-5.41,7.47
410,23.84,-5.37,7.88
420,21.96,-5.61,7.34
430,20.44,-5.7,6.13
440,18.93,-6.07,4.9
450,17.54,-6.25,3.47
460,16.33,-6.61,1.84
470,15.08,-7.02,0.45
480,13.93,-7.62,-0.93
490,13.0,-8.32,-1.98
500,12.13,-9.22,-2.72
510,11.26,-10.69,-3.48
520,10.37,-12.42,-4.65
530,9.49,-14.34,-5.93
540,8.27,-16.17,-7.08
550,6.75,-17.45,-8.06
560,5.18,-18.61,-8.84
570,3.7,-19.41,-9.25
580,2.24,-19.93,-9.1
590,0.73,-20.24,-8.47
600,-0.55,-20.34,-7.99
610,-1.39,-20.31,-8.37
620,-2.06,-20.52,-9.11
630,-2.23,-20.64,-10.02
640,-1.91,-21.1,-11.15
650,-2.34,-22.3,-12.25
660,-6.22,-24.79,-12.08
670,-14.24,-28.71,-10.56
680,-25.64,-33.54,-6.55
690,-38.7,-37.26,-0.21
700,-49.56,-38.33,6.12
710,-54.74,-39.39,10.89
720,-54.05,-38.87,14.3
730,-50.35,-37.43,16.96
740,-44.36,-35.22,18.4
750,-37.49,-32.35,17.24
760,-31.29,-30.24,13.56
770,-26.6,-29.37,8.12
780,-23.47,-29.45,2.11
790,-21.46,-30.22,-4.5
800,-19.92,-31.06,-11.78
810,-18.05,-31.52,-18.64
820,-15.47,-31.27,-22.5
830,-11.91,-30.58,-22.24
840,-7.74,-29.58,-19.66
850,-3.91,-28.53,-16.52
860,-0.48,-27.06,-13.76
870,2.26,-25.22,-11.86
880,4.31,-23.18,-10.69
890,5.42,-21.5,-9.89
900,5.32,-20.35,-9.76
910,4.43,-20.16,-10.23
920,3.61,-21.08,-10.5
930,3.39,-23.01,-10.17
940,3.62,-25.7,-9.48
950,4.54,-29.98,-8.96
960,6.95,-35.3,-8.73
970,11.85,-40.59,-9.26
980,20.11,-43.99,-9.65
990,34.2,-42.23,-9.93
1000,54.91,-33.93,-8.9
