timestamp,x,y,z
0,-0.7,1.47,0.95
10,0.57,1.13,1.16
20,1.68,0.82,1.36
30,2.62,0.62,1.57
40,3.34,0.2,1.8
50,3.67,-0.41,2.37
60,4.35,-1.05,2.56
70,5.06,-1.9,2.66
80,5.8,-2.73,2.63
90,6.81,-3.37,2.5
100,8.33,-3.97,2.1
110,10.25,-4.42,1.7
120,12.27,-4.65,1.42
130,14.1,-4.6,1.73
140,15.44,-4.6,2.75
150,16.5,-4.66,4.07
160,17.75,-4.69,5.32
170,19.19,-4.61,6.51
180,20.5,-4.6,7.6
190,21.59,-4.75,8.53
200,22.08,-4.77,9.36
210,22.03,-4.74,9.82
220,21.31,-4.71,9.71
230,20.21,-4.64,8.88
240,18.91,-4.62,7.75
250,17.63,-4.34,6.65
260,16.41,-3.99,5.68
270,15.32,-3.51,5.01
280,14.39,-2.89,4.37
290,13.25,-2.17,3.97
300,12.27,-1.33,3.9
310,11.39,-0.45,3.83
320,10.69,0.21,3.76
330,10.09,0.85,3.51
340,9.51,1.36,2.85
350,9.14,1.42,1.55
360,9.26,1.39,-0.49
370,9.39,1.38,-3.12
380,9.12,1.32,-5.9
390,7.87,0.62,-8.49
400,5.64,-1.65,-10.63
410,2.92,-5.05,-11.88
420,0.09,-8.23,-11.88
430,-2.57,-9.81,-9.82
440,-5.13,-10.37,-6.31
450,-8.09,-10.49,-2.77
460,-11.72,-10.74,0.3
470,-15.61,-9.85,4.08
480,-19.54,-7.64,8.87
490,-21.72,-5.76,11.89
500,-21.88,-4.95,12.56
510,-20.59,-4.42,10.85
520,-19.2,-3.92,8.38
530,-18.33,-3.18,5.75
540,-17.63,-2.79,3.5
550,-16.73,-2.54,1.98
560,-15.97,-1.43,0.92
570,-15.65,-0.12,0.02
580,-15.57,0.43,-0.34
590,-15.52,0.7,-0.32
600,-15.67,1.25,-0.01
610,-16.04,1.9,0.41
620,-16.32,2.4,0.61
630,-16.53,2.72,0.41
640,-16.64,2.86,-0.17
650,-16.66,2.88,-0.84
660,-16.6,2.93,-1.34
670,-16.35,2.87,-1.55
680,-15.89,2.74,-1.5
690,-15.23,2.59,-1.34
700,-14.35,2.56,-1.14
710,-13.17,2.66,-0.96
720,-11.92,2.78,-0.74
730,-10.77,2.78,-0.55
740,-9.75,2.7,-0.38
750,-8.72,2.42,-0.27
760,-7.61,2.12,-0.14
770,-6.46,1.76,0.11
780,-5.41,1.32,0.5
790,-4.62,1.05,0.83
800,-4.12,1.07,1.03
810,-3.73,0.96,1.29
820,-3.45,0.65,1.53
830,-3.19,0.31,1.87
840,-3.01,0.09,2.32
850,-2.78,-0.16,2.75
860,-2.5,-0.49,3.24
870,-2.07,-1.04,3.6
880,-1.39,-1.9,3.68
890,0.01,-3.09,3.19
900,2.13,-4.24,2.25
910,4.71,-5.38,1.13
920,7.43,-6.51,0.15
930,10.51,-7.02,-0.41
940,13.71,-6.78,-0.5
950,16.24,-6.16,0.35
960,18.05,-5.3,1.96
970,19.72,-4.42,3.63
980,21.47,-3.62,5.06
990,22.66,-3.54,6.15
1000,22.91,-4.03,6.96
