timestamp,x,y,z
0,-6.31,10.66,8.29
10,-5.97,9.41,7.77
20,-6.0,6.85,7.02
30,-5.83,4.46,5.96
40,-4.99,1.98,4.59
50,-3.52,-0.39,2.75
60,-1.86,-2.36,0.84
70,-0.22,-4.12,-1.23
80,1.26,-5.83,-3.5
90,2.52,-7.47,-6.42
100,4.2,-7.85,-9.94
110,6.82,-6.58,-14.1
120,10.46,-4.26,-19.59
130,13.27,-0.77,-25.47
140,13.86,2.77,-29.43
150,12.68,5.07,-29.36
160,11.53,4.86,-25.35
170,9.98,2.55,-19.01
180,8.18,0.05,-12.23
190,7.19,-1.49,-6.99
200,6.72,-2.07,-3.95
210,6.23,-1.78,-2.31
220,5.14,-0.99,-1.22
230,3.21,0.25,-0.89
240,0.89,2.02,-1.34
250,-1.73,4.22,-2.27
260,-4.13,6.97,-2.87
270,-5.23,10.34,-2.63
280,-4.69,13.48,-2.08
290,-3.38,15.72,-1.32
300,-2.6,17.15,-0.29
310,-2.9,18.11,0.82
320,-4.2,18.9,1.98
330,-6.12,19.24,3.32
340,-7.36,19.51,4.46
350,-7.72,19.81,5.4
360,-7.85,19.85,6.17
370,-8.03,19.28,6.87
380,-8.28,18.41,7.56
390,-8.51,17.75,8.36
400,-8.5,17.08,9.25
410,-8.03,16.42,10.06
420,-7.52,15.79,10.79
430,-7.01,15.03,11.55
440,-6.6,14.07,12.34
450,-6.43,12.73,12.97
460,-6.49,10.92,13.29
470,-6.67,8.71,13.33
480,-6.58,6.5,12.85
490,-6.37,4.63,11.9
500,-6.21,2.46,10.0
510,-5.12,-0.17,6.99
520,-2.95,-3.55,2.2
530,0.38,-6.34,-4.98
540,5.44,-6.74,-15.79
550,11.92,-5.8,-31.75
560,16.51,-0.76,-48.89
570,18.96,5.31,-55.15
580,20.24,7.25,-48.35
590,19.75,4.99,-35.24
600,17.35,2.39,-21.53
610,16.2,0.52,-10.91
620,16.97,-1.73,-3.43
630,17.81,-2.95,2.28
640,17.59,-3.32,5.99
650,16.63,-3.74,7.27
660,15.25,-4.4,6.83
670,13.58,-5.25,5.68
680,11.79,-6.34,4.24
690,10.23,-7.63,2.79
700,8.97,-8.99,1.29
710,7.56,-10.31,-0.33
720,5.99,-11.29,-1.3
730,4.38,-12.05,-1.04
740,2.2,-13.3,-0.18
750,-0.28,-14.73,0.84
760,-2.84,-15.66,0.65
770,-5.62,-15.91,-0.35
780,-7.04,-15.03,-2.21
790,-7.87,-14.04,-4.74
800,-9.33,-13.44,-7.11
810,-11.76,-13.61,-8.81
820,-15.35,-14.11,-8.84
830,-19.6,-14.08,-7.24
840,-23.64,-13.48,-5.08
850,-27.95,-13.17,-2.91
860,-32.28,-13.62,-1.16
870,-36.36,-13.98,0.18
880,-39.87,-14.63,1.9
890,-42.23,-15.23,4.36
900,-42.63,-15.45,7.07
910,-41.81,-15.56,9.44
920,-40.29,-15.39,10.43
930,-38.14,-15.13,9.83
940,-35.13,-14.82,7.95
950,-31.3,-14.28,5.65
960,-26.9,-13.56,3.77
970,-22.62,-12.65,2.54
980,-19.15,-11.94,1.76
990,-16.89,-11.73,1.22
1000,-15.76,-11.92,1.02
