timestamp,x,y,z
0,-32.52,-39.89,-8.13
10,-35.8,-42.03,-7.47
20,-40.12,-43.52,-7.16
30,-45.81,-42.29,-7.43
40,-52.18,-39.42,-4.43
50,-59.01,-33.25,1.92
60,-62.91,-22.35,8.0
70,-60.43,-16.75,11.27
80,-53.78,-14.56,10.5
90,-49.8,-12.92,7.53
100,-50.78,-9.65,6.39
110,-54.78,-2.88,8.09
120,-58.05,4.36,12.64
130,-57.54,9.41,18.77
140,-54.06,11.55,23.65
150,-49.18,9.64,25.21
160,-44.24,4.49,24.38
170,-37.44,-2.92,19.69
180,-33.79,-5.79,17.13
190,-32.69,-6.13,14.31
200,-32.78,-5.67,11.32
210,-33.77,-5.27,9.93
220,-34.59,-5.66,9.54
230,-35.23,-6.13,9.95
240,-35.8,-6.74,10.84
250,-35.9,-8.37,11.43
260,-35.3,-10.32,11.0
270,-35.31,-11.97,10.15
280,-35.42,-13.41,8.71
290,-35.48,-15.5,6.28
300,-35.25,-17.79,3.93
310,-34.96,-20.75,1.78
320,-34.8,-23.09,-1.62
330,-34.54,-24.6,-5.95
340,-33.63,-26.35,-9.42
350,-31.36,-28.04,-11.4
360,-27.81,-29.81,-12.93
370,-23.62,-31.41,-13.66
380,-19.42,-32.84,-14.17
390,-14.95,-33.14,-15.55
400,-11.21,-32.28,-16.66
410,-8.52,-30.79,-17.55
420,-6.79,-28.51,-17.21
430,-6.14,-26.54,-15.82
440,-6.03,-25.73,-13.91
450,-5.52,-25.69,-11.86
460,-4.38,-26.58,-10.39
470,-2.89,-27.89,-10.06
480,-0.73,-29.12,-10.54
490,2.32,-31.11,-11.72
500,7.44,-32.02,-15.03
510,10.64,-31.16,-18.34
520,10.67,-29.08,-21.02
530,7.98,-26.0,-22.32
540,4.52,-22.67,-22.82
550,1.47,-19.7,-22.3
560,-0.39,-17.31,-21.11
570,-1.01,-15.88,-19.89
580,-0.56,-15.17,-19.3
590,0.39,-14.94,-19.08
600,1.39,-14.63,-19.19
610,2.01,-14.21,-19.13
620,2.35,-13.73,-19.19
630,2.22,-13.25,-18.86
640,1.77,-12.57,-18.18
650,1.11,-12.24,-17.21
660,0.18,-12.01,-16.37
670,-1.09,-11.47,-15.53
680,-1.75,-11.54,-14.85
690,-2.14,-12.14,-14.52
700,-2.68,-12.43,-14.77
710,-3.52,-13.29,-15.44
720,-4.72,-15.18,-15.78
730,-6.5,-17.39,-15.27
740,-8.35,-19.35,-13.79
750,-9.74,-21.67,-11.26
760,-11.44,-24.48,-8.65
770,-13.92,-27.29,-7.03
780,-16.82,-29.81,-6.03
790,-20.24,-32.58,-4.75
800,-24.24,-35.78,-3.1
810,-28.36,-37.59,-1.36
820,-33.12,-37.95,0.46
830,-36.94,-37.17,2.6
840,-37.97,-36.88,4.97
850,-36.09,-38.38,8.17
860,-32.66,-40.44,13.57
870,-28.85,-41.41,20.83
880,-25.49,-41.81,27.75
890,-23.89,-39.98,35.33
900,-23.68,-34.88,40.16
910,-22.58,-30.01,41.41
920,-21.06,-26.34,42.96
930,-19.98,-22.82,45.29
940,-18.93,-20.13,46.94
950,-18.29,-18.65,46.96
960,-16.97,-18.24,44.52
970,-15.32,-18.72,40.34
980,-13.66,-19.38,35.72
990,-12.38,-19.9,31.08
1000,-11.85,-20.19,27.12
