timestamp,x,y,z
0,-0.93,5.74,-9.11
10,-1.34,5.46,-8.79
20,-1.68,5.36,-8.56
30,-1.58,5.27,-8.78
40,-1.52,5.33,-8.71
50,-1.64,5.55,-8.3
60,-1.59,5.62,-7.83
70,-1.5,5.98,-7.39
80,-1.45,6.02,-7.03
90,-1.09,6.06,-7.61
100,-0.16,5.03,-7.86
110,0.39,5.94,-7.13
120,0.49,6.22,-7.13
130,0.71,5.46,-5.82
140,2.06,5.58,-6.88
150,1.69,5.59,-6.78
160,1.23,5.12,-4.89
170,2.64,5.17,-6.11
180,3.23,5.4,-5.29
190,4.3,5.08,-5.19
200,4.9,5.03,-5.4
210,5.0,5.05,-5.48
220,5.42,4.94,-5.75
230,5.99,4.81,-5.92
240,6.11,4.74,-5.59
250,5.89,4.47,-5.34
260,5.59,3.97,-5.14
270,6.52,1.16,-3.73
280,8.59,4.09,-7.47
290,5.67,10.49,-1.27
300,2.35,5.5,-0.91
310,4.33,2.11,-4.02
320,7.93,2.1,-6.8
330,10.22,3.01,-8.63
340,10.73,3.19,-10.0
350,10.16,3.29,-10.86
360,9.8,3.43,-11.3
370,10.35,3.51,-11.46
380,10.67,3.37,-11.34
390,10.01,3.17,-11.71
400,9.0,3.04,-12.39
410,8.52,2.96,-12.28
420,8.45,2.99,-11.48
430,7.82,3.1,-10.62
440,6.81,3.28,-10.42
450,6.28,3.42,-10.31
460,6.8,3.64,-10.02
470,7.67,3.78,-9.58
480,8.5,3.93,-9.84
490,8.99,4.27,-10.36
500,9.55,4.57,-10.82
510,10.41,4.8,-11.04
520,11.31,5.17,-11.08
530,11.88,4.95,-11.22
540,11.69,4.14,-11.6
550,12.02,3.42,-11.24
560,12.72,3.04,-11.15
570,13.3,2.91,-11.55
580,13.38,2.83,-11.75
590,13.25,2.69,-11.25
600,12.88,2.45,-10.14
610,12.28,2.22,-8.9
620,11.44,2.08,-7.66
630,10.39,1.85,-6.28
640,9.37,1.87,-4.58
650,8.61,2.07,-3.12
660,7.68,2.35,-1.94
670,6.44,2.55,-1.19
680,4.98,2.45,-0.69
690,3.64,2.33,-0.26
700,2.43,2.11,0.04
710,1.26,1.97,0.07
720,0.32,2.37,0.05
730,-0.75,3.12,-0.05
740,-1.76,2.92,0.23
750,-3.55,2.59,1.27
760,-5.12,2.74,1.98
770,-5.91,2.87,1.77
780,-6.09,2.91,1.05
790,-5.94,2.76,-0.14
800,-5.71,2.38,-1.47
810,-5.67,1.94,-3.04
820,-5.24,1.28,-6.61
830,-6.29,1.9,-7.18
840,-8.68,1.07,-5.64
850,-10.32,0.76,-5.83
860,-11.05,1.56,-6.76
870,-11.45,1.83,-7.6
880,-11.78,2.04,-7.84
890,-11.9,2.37,-8.23
900,-11.77,2.55,-8.73
910,-11.35,2.6,-8.97
920,-10.62,2.7,-8.96
930,-9.82,2.79,-8.82
940,-9.1,2.86,-8.55
950,-8.49,3.03,-8.43
960,-7.99,3.2,-8.23
970,-7.41,3.32,-8.11
980,-6.89,3.56,-7.98
990,-6.52,3.82,-8.05
1000,-6.23,4.25,-8.27
