timestamp,x,y,z
0,-9.42,-7.99,0.97
10,-8.91,-7.17,0.34
20,-8.66,-6.44,-0.18
30,-8.22,-6.1,-0.65
40,-7.41,-5.79,-1.33
50,-6.35,-5.47,-2.13
60,-5.29,-5.38,-2.98
70,-4.5,-5.61,-3.88
80,-3.74,-6.22,-4.95
90,-2.9,-7.36,-5.86
100,-1.79,-8.87,-7.0
110,-0.11,-10.68,-8.44
120,1.55,-12.07,-9.4
130,3.8,-12.05,-10.24
140,6.5,-11.14,-11.1
150,9.49,-9.84,-11.78
160,12.77,-8.13,-12.05
170,15.27,-5.84,-11.42
180,16.64,-3.78,-10.11
190,17.21,-2.9,-8.45
200,17.81,-2.39,-7.25
210,18.47,-1.45,-6.32
220,18.59,-0.91,-5.65
230,18.26,-0.95,-5.55
240,17.84,-1.43,-5.62
250,17.49,-2.25,-5.67
260,17.96,-2.87,-5.54
270,19.22,-3.14,-4.84
280,20.76,-3.34,-3.9
290,22.48,-3.34,-2.92
300,24.38,-2.89,-1.83
310,26.41,-2.29,-0.85
320,28.26,-1.62,0.05
330,29.03,-1.12,0.86
340,28.87,-0.8,1.0
350,28.07,-0.46,0.37
360,26.77,-0.16,-0.69
370,25.04,-0.2,-2.33
380,22.93,-0.27,-3.94
390,20.76,-0.22,-5.56
400,18.93,0.07,-7.17
410,17.27,0.14,-8.79
420,15.79,-0.16,-10.29
430,14.21,-0.94,-11.42
440,12.74,-1.69,-12.18
450,11.15,-2.56,-12.41
460,9.08,-3.49,-11.94
470,6.89,-4.41,-11.44
480,4.98,-4.99,-11.33
490,3.68,-5.14,-11.4
500,2.83,-5.47,-11.29
510,2.12,-6.19,-10.81
520,1.17,-7.26,-9.99
530,-0.06,-8.6,-8.76
540,-1.59,-9.75,-7.57
550,-3.3,-10.34,-6.39
560,-4.94,-10.73,-5.39
570,-6.56,-11.16,-4.26
580,-8.27,-11.45,-3.12
590,-9.76,-11.56,-1.93
600,-10.91,-11.6,-0.57
610,-11.8,-11.39,0.63
620,-12.47,-11.12,1.59
630,-12.98,-11.0,2.31
640,-13.42,-11.31,2.6
650,-13.97,-12.1,2.71
660,-14.89,-13.2,2.71
670,-16.41,-14.44,2.72
680,-18.11,-15.61,2.88
690,-19.57,-16.47,3.44
700,-20.73,-16.82,4.52
710,-21.59,-16.66,5.69
720,-22.0,-16.12,6.88
730,-21.49,-15.28,7.74
740,-20.19,-14.34,7.86
750,-18.42,-13.32,7.46
760,-16.73,-12.14,6.7
770,-15.26,-10.91,5.75
780,-14.16,-9.79,4.77
790,-13.44,-8.72,3.85
800,-13.01,-7.81,3.05
810,-12.72,-7.14,2.32
820,-12.31,-6.37,1.59
830,-11.94,-5.89,1.02
840,-11.84,-5.42,0.67
850,-12.0,-5.04,0.39
860,-12.19,-4.89,-0.05
870,-12.18,-4.94,-0.6
880,-11.76,-5.02,-1.21
890,-10.69,-5.28,-1.87
900,-9.49,-5.43,-2.65
910,-8.4,-5.46,-3.19
920,-7.25,-5.36,-3.91
930,-6.07,-5.35,-4.83
940,-5.15,-5.71,-5.79
950,-4.17,-6.29,-6.58
960,-3.06,-7.18,-7.19
970,-1.96,-8.49,-7.98
980,-0.62,-9.77,-9.36
990,1.5,-10.53,-10.92
1000,4.16,-10.74,-12.45
